,Sentence,CompScore,PosScore,NegScore,NeuScore,PosFlag,NegFlag,NeuFlag
34,And so it happened that on a warm windy evening I drove over to East Egg to see two old friends whom I scarcely knew at all.,0.6124,0.185,0.0,0.815,1,0,0
35,"Their house was even more elaborate than I expected, a cheerful red-and-white Georgian Colonial mansion, overlooking the bay.",0.5423,0.189,0.0,0.811,1,0,0
36,"The lawn started at the beach and ran towards the front door for a quarter of a mile, jumping over sundials and brick walks and burning gardens—finally when it reached the house drifting up the side in bright vines as though from the momentum of its run.",0.5106,0.091,0.0,0.909,1,0,0
37,"Not even the effeminate swank of his riding clothes could hide the enormous power of that body—he seemed to fill those glistening boots until he strained the top lacing, and you could see a great pack of muscle shifting when his shoulder moved under his thin coat.",0.3612,0.113,0.084,0.803,1,0,0
38,"His speaking voice, a gruff husky tenor, added to the impression of fractiousness he conveyed.",0.2263,0.128,0.0,0.872,1,0,0
39,"“Now, don’t think my opinion on these matters is final,” he seemed to say, “just because I’m stronger and more of a man than you are.” We were in the same senior society, and while we were never intimate I always had the impression that he approved of me and wanted me to like him with some harsh, defiant wistfulness of his own.",0.6249,0.156,0.069,0.775,1,0,0
40,We talked for a few minutes on the sunny porch.,0.4215,0.259,0.0,0.741,1,0,0
41,"“I’ve got a nice place here,” he said, his eyes flashing about restlessly.",0.1027,0.184,0.158,0.658,1,0,0
42,"Turning me around by one arm, he moved a broad flat hand along the front vista, including in its sweep a sunken Italian garden, a half acre of deep, pungent roses, and a snub-nosed motorboat that bumped the tide offshore.",0.4939,0.084,0.0,0.916,1,0,0
43,"“We’ll go inside.” We walked through a high hallway into a bright rosy-coloured space, fragilely bound into the house by French windows at either end.",0.4404,0.116,0.0,0.884,1,0,0
44,The windows were ajar and gleaming white against the fresh grass outside that seemed to grow a little way into the house.,0.3182,0.103,0.0,0.897,1,0,0
45,"A breeze blew through the room, blew curtains in at one end and out the other like pale flags, twisting them up toward the frosted wedding-cake of the ceiling, and then rippled over the wine-coloured rug, making a shadow on it as wind does on the sea.",0.3612,0.054,0.0,0.946,1,0,0
46,"The other girl, Daisy, made an attempt to rise—she leaned slightly forward with a conscientious expression—then she laughed, an absurd, charming little laugh, and I laughed too and came forward into the room.",0.9202,0.327,0.0,0.673,1,0,0
47,"“I’m p-paralysed with happiness.” She laughed again, as if she said something very witty, and held my hand for a moment, looking up into my face, promising that there was no one in the world she so much wanted to see.",0.7717,0.189,0.047,0.764,1,0,0
48,"I looked back at my cousin, who began to ask me questions in her low, thrilling voice.",0.25,0.161,0.109,0.729,1,0,0
49,"Her face was sad and lovely with bright things in it, bright eyes and a bright passionate mouth, but there was an excitement in her voice that men who had cared for her found difficult to forget: a singing compulsion, a whispered “Listen,” a promise that she had done gay, exciting things just a while since and that there were gay, exciting things hovering in the next hour.",0.9696,0.342,0.087,0.57,1,0,0
50,"I told her how I had stopped off in Chicago for a day on my way East, and how a dozen people had sent their love through me.",0.5106,0.149,0.068,0.783,1,0,0
51,“Do they miss me?” she cried ecstatically.,0.1531,0.317,0.35,0.333,1,0,0
52,"All the cars have the left rear wheel painted black as a mourning wreath, and there’s a persistent wail all night along the north shore.” “How gorgeous!",0.3382,0.142,0.096,0.762,1,0,0
53,Tomorrow!” Then she added irrelevantly: “You ought to see the baby.” “I’d like to.” “She’s asleep.,0.4199,0.157,0.0,0.843,1,0,0
54,"“You will if you stay in the East.” “Oh, I’ll stay in the East, don’t you worry,” he said, glancing at Daisy and then back at me, as if he were alert for something more.",0.296,0.061,0.0,0.939,1,0,0
55,"Evidently it surprised her as much as it did me, for she yawned and with a series of rapid, deft movements stood up into the room.",0.2263,0.073,0.0,0.927,1,0,0
56,"“How you ever get anything done is beyond me.” I looked at Miss Baker, wondering what it was she “got done.” I enjoyed looking at her.",0.4019,0.123,0.059,0.818,1,0,0
57,"She was a slender, small-breasted girl, with an erect carriage, which she accentuated by throwing her body backward at the shoulders like a young cadet.",0.3612,0.102,0.0,0.898,1,0,0
58,"Her grey sun-strained eyes looked back at me with polite reciprocal curiosity out of a wan, charming, discontented face.",0.296,0.219,0.123,0.658,1,0,0
59,“In two weeks it’ll be the longest day in the year.” She looked at us all radiantly.,0.3182,0.126,0.0,0.874,1,0,0
60,"That’s what I get for marrying a brute of a man, a great, big, hulking physical specimen of a—” “I hate that word ‘hulking,’ ” objected Tom crossly, “even in kidding.” “Hulking,” insisted Daisy.",0.1027,0.118,0.106,0.776,1,0,0
61,"Sometimes she and Miss Baker talked at once, unobtrusively and with a bantering inconsequence that was never quite chatter, that was as cool as their white dresses and their impersonal eyes in the absence of all desire.",0.2732,0.122,0.095,0.782,1,0,0
62,"They were here, and they accepted Tom and me, making only a polite pleasant effort to entertain or to be entertained.",0.8555,0.394,0.0,0.606,1,0,0
63,They knew that presently dinner would be over and a little later the evening too would be over and casually put away.,0.1779,0.078,0.0,0.922,1,0,0
64,"“You make me feel uncivilized, Daisy,” I confessed on my second glass of corky but rather impressive claret.",0.6652,0.218,0.0,0.782,1,0,0
65,"Have you read The Rise of the Coloured Empires by this man Goddard?” “Why, no,” I answered, rather surprised by his tone.",0.2263,0.087,0.0,0.913,1,0,0
66,"“Well, it’s a fine book, and everybody ought to read it.",0.2023,0.167,0.0,0.833,1,0,0
67,"“I’ll tell you a family secret,” she whispered enthusiastically.",0.5574,0.34,0.0,0.66,1,0,0
68,"Do you want to hear about the butler’s nose?” “That’s why I came over tonight.” “Well, he wasn’t always a butler; he used to be the silver polisher for some people in New York that had a silver service for two hundred people.",0.0772,0.032,0.0,0.968,1,0,0
69,"Things went from bad to worse, until finally he had to give up his position.” For a moment the last sunshine fell with romantic affection upon her glowing face; her voice compelled me forward breathlessly as I listened—then the glow faded, each light deserting her with lingering regret, like children leaving a pleasant street at dusk.",0.7096,0.234,0.135,0.631,1,0,0
70,"“I love to see you at my table, Nick.",0.6369,0.344,0.0,0.656,1,0,0
71,"She was only extemporizing, but a stirring warmth flowed from her, as if her heart was trying to come out to you concealed in one of those breathless, thrilling words.",0.8462,0.232,0.0,0.768,1,0,0
72,"The murmur trembled on the verge of coherence, sank down, mounted excitedly, and then ceased altogether.",0.296,0.17,0.108,0.722,1,0,0
73,I want to hear what happens.” “Is something happening?” I inquired innocently.,0.4019,0.316,0.0,0.684,1,0,0
74,"“You mean to say you don’t know?” said Miss Baker, honestly surprised.",0.5106,0.316,0.103,0.581,1,0,0
75,"She sat down, glanced searchingly at Miss Baker and then at me, and continued: “I looked outdoors for a minute, and it’s very romantic outdoors.",0.3384,0.113,0.06,0.827,1,0,0
76,To a certain temperament the situation might have seemed intriguing—my own instinct was to telephone immediately for the police.,0.2732,0.11,0.0,0.89,1,0,0
77,"Tom and Miss Baker, with several feet of twilight between them, strolled back into the library, as if to a vigil beside a perfectly tangible body, while, trying to look pleasantly interested and a little deaf, I followed Daisy around a chain of connecting verandas to the porch in front.",0.8555,0.19,0.03,0.779,1,0,0
78,"Daisy took her face in her hands as if feeling its lovely shape, and her eyes moved gradually out into the velvet dusk.",0.6486,0.202,0.0,0.798,1,0,0
79,"“We don’t know each other very well, Nick,” she said suddenly.",0.3384,0.193,0.0,0.807,1,0,0
80,Would you like to hear?” “Very much.” “It’ll show you how I’ve gotten to feel about—things.,0.3612,0.143,0.0,0.857,1,0,0
81,"Well, she was less than an hour old and Tom was God knows where.",0.4939,0.259,0.0,0.741,1,0,0
82,"‘All right,’ I said, ‘I’m glad it’s a girl.",0.4588,0.333,0.0,0.667,1,0,0
83,"And I hope she’ll be a fool—that’s the best thing a girl can be in this world, a beautiful little fool.’ “You see I think everything’s terrible anyhow,” she went on in a convinced way.",0.891,0.336,0.076,0.588,1,0,0
84,“Everybody thinks so—the most advanced people.,0.3167,0.314,0.0,0.686,1,0,0
85,"I’ve been everywhere and seen everything and done everything.” Her eyes flashed around her in a defiant way, rather like Tom’s, and she laughed with thrilling scorn.",0.6124,0.251,0.135,0.614,1,0,0
86,"I waited, and sure enough, in a moment she looked at me with an absolute smirk on her lovely face, as if she had asserted her membership in a rather distinguished secret society to which she and Tom belonged.",0.7269,0.152,0.0,0.848,1,0,0
87,"Tom and Miss Baker sat at either end of the long couch and she read aloud to him from the Saturday Evening Post—the words, murmurous and uninflected, running together in a soothing tune.",0.1779,0.068,0.047,0.885,1,0,0
88,"The lamplight, bright on his boots and dull on the autumn-leaf yellow of her hair, glinted along the paper as she turned a page with a flutter of slender muscles in her arms.",0.0516,0.084,0.078,0.838,1,0,0
89,When we came in she held us silent for a moment with a lifted hand.,0.4939,0.211,0.0,0.789,1,0,0
90,"“Time for this good girl to go to bed.” “Jordan’s going to play in the tournament tomorrow,” explained Daisy, “over at Westchester.” “Oh—you’re Jordan Baker.” I knew now why her face was familiar—its pleasing contemptuous expression had looked out at me from many rotogravure pictures of the sporting life at Asheville and Hot Springs and Palm Beach.",0.7162,0.143,0.05,0.808,1,0,0
91,"Good night, Mr. Carraway.",0.4404,0.492,0.0,0.508,1,0,0
92,"“I haven’t heard a word.” “She’s a nice girl,” said Tom after a moment.",0.4215,0.219,0.0,0.781,1,0,0
93,I think the home influence will be very good for her.” Daisy and Tom looked at each other for a moment in silence.,0.4927,0.138,0.0,0.862,1,0,0
94,Our beautiful white—” “Did you give Nick a little heart to heart talk on the veranda?” demanded Tom suddenly.,0.4588,0.179,0.087,0.734,1,0,0
95,"Yes, I’m sure we did.",0.6124,0.625,0.0,0.375,1,0,0
96,They came to the door with me and stood side by side in a cheerful square of light.,0.5423,0.179,0.0,0.821,1,0,0
97,"As I started my motor Daisy peremptorily called: “Wait!” “I forgot to ask you something, and it’s important.",0.2714,0.116,0.0,0.884,1,0,0
98,"We heard you were engaged to a girl out West.” “That’s right,” corroborated Tom kindly.",0.7096,0.33,0.0,0.67,1,0,0
99,"I’m too poor.” “But we heard it,” insisted Daisy, surprising me by opening up again in a flower-like way.",0.2732,0.11,0.0,0.89,1,0,0
100,"“We heard it from three people, so it must be true.” Of course I knew what they were referring to, but I wasn’t even vaguely engaged.",0.5499,0.134,0.0,0.866,1,0,0
101,"You can’t stop going with an old friend on account of rumours, and on the other hand I had no intention of being rumoured into marriage.",0.4588,0.201,0.138,0.66,1,0,0
102,"Something in his leisurely movements and the secure position of his feet upon the lawn suggested that it was Mr. Gatsby himself, come out to determine what share was his of our local heavens.",0.743,0.191,0.0,0.809,1,0,0
103,"About halfway between West Egg and New York the motor road hastily joins the railroad and runs beside it for a quarter of a mile, so as to shrink away from a certain desolate area of land.",0.2732,0.06,0.0,0.94,1,0,0
104,"This is a valley of ashes—a fantastic farm where ashes grow like wheat into ridges and hills and grotesque gardens; where ashes take the forms of houses and chimneys and rising smoke and, finally, with a transcendent effort, of ash-grey men, who move dimly and already crumbling through the powdery air.",0.7269,0.115,0.0,0.885,1,0,0
105,"But above the grey land and the spasms of bleak dust which drift endlessly over it, you perceive, after a moment, the eyes of Doctor T. J. Eckleburg.",0.0516,0.044,0.0,0.956,1,0,0
106,"His acquaintances resented the fact that he turned up in popular cafés with her and, leaving her at a table, sauntered about, chatting with whomsoever he knew.",0.0516,0.095,0.088,0.816,1,0,0
107,"Though I was curious to see her, I had no desire to meet her—but I did.",0.4215,0.291,0.128,0.581,1,0,0
108,"“I want you to meet my girl.” I think he’d tanked up a good deal at luncheon, and his determination to have my company bordered on violence.",0.2023,0.216,0.128,0.656,1,0,0
109,"He was a blond, spiritless man, anaemic, and faintly handsome.",0.2263,0.256,0.184,0.56,1,0,0
110,When he saw us a damp gleam of hope sprang into his light blue eyes.,0.4404,0.182,0.0,0.818,1,0,0
111,"“When are you going to sell me that car?” “Next week; I’ve got my man working on it now.” “Works pretty slow, don’t he?” “No, he doesn’t,” said Tom coldly.",0.5514,0.109,0.0,0.891,1,0,0
112,"“And if you feel that way about it, maybe I’d better sell it somewhere else after all.” “I don’t mean that,” explained Wilson quickly.",0.4404,0.112,0.0,0.888,1,0,0
113,"She was in the middle thirties, and faintly stout, but she carried her flesh sensuously as some women can.",0.09,0.07,0.0,0.93,1,0,0
114,"Her face, above a spotted dress of dark blue crêpe-de-chine, contained no facet or gleam of beauty, but there was an immediately perceptible vitality about her as if the nerves of her body were continually smouldering.",0.4854,0.135,0.081,0.784,1,0,0
115,"She smiled slowly and, walking through her husband as if he were a ghost, shook hands with Tom, looking him flush in the eye.",0.2023,0.129,0.136,0.735,1,0,0
116,"Then she wet her lips, and without turning around spoke to her husband in a soft, coarse voice: “Get some chairs, why don’t you, so somebody can sit down.” “Oh, sure,” agreed Wilson hurriedly, and went toward the little office, mingling immediately with the cement colour of the walls.",0.2732,0.043,0.0,0.957,1,0,0
117,"“I want to see you,” said Tom intently.",0.0772,0.157,0.0,0.843,1,0,0
118,"It was a few days before the Fourth of July, and a grey, scrawny Italian child was setting torpedoes in a row along the railroad track.",0.0516,0.052,0.0,0.948,1,0,0
119,“Awful.” “It does her good to get away.” “Doesn’t her husband object?” “Wilson?,0.504,0.214,0.0,0.786,1,0,0
120,"Upstairs, in the solemn echoing drive she let four taxicabs drive away before she selected a new one, lavender-coloured with grey upholstery, and in this we slid out from the mass of the station into the glowing sunshine.",0.4767,0.111,0.033,0.856,1,0,0
121,"“I want to get one of those dogs,” she said earnestly.",0.0772,0.115,0.0,0.885,1,0,0
122,“I want to get one for the apartment.,0.0772,0.157,0.0,0.843,1,0,0
123,They’re nice to have—a dog.” We backed up to a grey old man who bore an absurd resemblance to John D. Rockefeller.,0.2732,0.212,0.083,0.705,1,0,0
124,"“What kind are they?” asked Mrs. Wilson eagerly, as he came to the taxi-window.",0.7184,0.333,0.0,0.667,1,0,0
125,"What kind do you want, lady?” “I’d like to get one of those police dogs; I don’t suppose you got that kind?” The man peered doubtfully into the basket, plunged in his hand and drew one up, wriggling, by the back of the neck.",0.8205,0.211,0.043,0.746,1,0,0
126,“It’s more of an Airedale.” He passed his hand over the brown washrag of a back.,0.4939,0.186,0.0,0.814,1,0,0
127,"That’s a dog that’ll never bother you with catching cold.” “I think it’s cute,” said Mrs. Wilson enthusiastically.",0.6844,0.273,0.0,0.727,1,0,0
128,“How much is it?” “That dog?” He looked at it admiringly.,0.5661,0.268,0.0,0.732,1,0,0
129,"“That dog will cost you ten dollars.” The Airedale—undoubtedly there was an Airedale concerned in it somewhere, though its feet were startlingly white—changed hands and settled down into Mrs. Wilson’s lap, where she fondled the weatherproof coat with rapture.",0.0772,0.04,0.033,0.927,1,0,0
130,“Is it a boy or a girl?” she asked delicately.,0.25,0.222,0.0,0.778,1,0,0
131,"Go and buy ten more dogs with it.” We drove over to Fifth Avenue, warm and soft, almost pastoral, on the summer Sunday afternoon.",0.2263,0.076,0.0,0.924,1,0,0
132,I wouldn’t have been surprised to see a great flock of white sheep turn the corner.,0.7184,0.333,0.0,0.667,1,0,0
133,"She’s said to be very beautiful by people who ought to know.” “Well, I’d like to, but—” We went on, cutting back again over the Park toward the West Hundreds.",0.7346,0.19,0.043,0.767,1,0,0
134,"“And, of course, I got to call up my sister, too.” The apartment was on the top floor—a small living-room, a small dining-room, a small bedroom, and a bath.",0.2023,0.07,0.0,0.93,1,0,0
135,"Looked at from a distance, however, the hen resolved itself into a bonnet, and the countenance of a stout old lady beamed down into the room.",0.34,0.139,0.0,0.861,1,0,0
136,"I have been drunk just twice in my life, and the second time was that afternoon; so everything that happened has a dim, hazy cast over it, although until after eight o’clock the apartment was full of cheerful sun.",0.2732,0.086,0.059,0.856,1,0,0
137,"The sister, Catherine, was a slender, worldly girl of about thirty, with a solid, sticky bob of red hair, and a complexion powdered milky white.",0.1531,0.071,0.0,0.929,1,0,0
138,"But when I asked her she laughed immoderately, repeated my question aloud, and told me she lived with a girl friend at a hotel.",0.7351,0.246,0.0,0.754,1,0,0
139,"He had just shaved, for there was a white spot of lather on his cheekbone, and he was most respectful in his greeting to everyone in the room.",0.7089,0.191,0.0,0.809,1,0,0
140,"He informed me that he was in the “artistic game,” and I gathered later that he was a photographer and had made the dim enlargement of Mrs. Wilson’s mother which hovered like an ectoplasm on the wall.",0.3612,0.068,0.0,0.932,1,0,0
141,She told me with pride that her husband had photographed her a hundred and twenty-seven times since they had been married.,0.34,0.112,0.0,0.888,1,0,0
142,The intense vitality that had been so remarkable in the garage was converted into impressive hauteur.,0.8889,0.49,0.0,0.51,1,0,0
143,"“I just slip it on sometimes when I don’t care what I look like.” “But it looks wonderful on you, if you know what I mean,” pursued Mrs. McKee.",0.7845,0.223,0.0,0.777,1,0,0
144,"“If Chester could only get you in that pose I think he could make something of it.” We all looked in silence at Mrs. Wilson, who removed a strand of hair from over her eyes and looked back at us with a brilliant smile.",0.743,0.139,0.0,0.861,1,0,0
145,"Mr. McKee regarded her intently with his head on one side, and then moved his hand back and forth slowly in front of his face.",0.4939,0.118,0.0,0.882,1,0,0
146,“I’d like to bring out the modelling of the features.,0.3612,0.217,0.0,0.783,1,0,0
147,You have to keep after them all the time.” She looked at me and laughed pointlessly.,0.4588,0.167,0.0,0.833,1,0,0
148,"Then she flounced over to the dog, kissed it with ecstasy, and swept into the kitchen, implying that a dozen chefs awaited her orders there.",0.7506,0.227,0.038,0.734,1,0,0
149,"“I’ve done some nice things out on Long Island,” asserted Mr. McKee.",0.4215,0.203,0.0,0.797,1,0,0
150,I was down there at a party about a month ago.,0.4019,0.278,0.0,0.722,1,0,0
151,"“I’d like to do more work on Long Island, if I could get the entry.",0.3612,0.161,0.0,0.839,1,0,0
152,"All I ask is that they should give me a start.” “Ask Myrtle,” said Tom, breaking into a short shout of laughter as Mrs. Wilson entered with a tray.",0.4939,0.118,0.0,0.882,1,0,0
153,"“You’ll give McKee a letter of introduction to your husband, so he can do some studies of him.” His lips moved silently for a moment as he invented, “ ‘George B. Wilson at the Gasoline Pump,’ or something like that.” Catherine leaned close to me and whispered in my ear: “Neither of them can stand the person they’re married to.” “Can’t they?” “Can’t stand them.” She looked at Myrtle and then at Tom.",0.3612,0.035,0.0,0.965,1,0,0
154,If I was them I’d get a divorce and get married to each other right away.” “Doesn’t she like Wilson either?” The answer to this was unexpected.,0.3612,0.094,0.0,0.906,1,0,0
155,"“You see,” cried Catherine triumphantly.",0.1779,0.371,0.292,0.337,1,0,0
156,"“When they do get married,” continued Catherine, “they’re going West to live for a while until it blows over.” “It’d be more discreet to go to Europe.” “Oh, do you like Europe?” she exclaimed surprisingly.",0.5719,0.128,0.0,0.872,1,0,0
157,I tried to show by my expression that I expected no affection.,0.296,0.25,0.162,0.588,1,0,0
158,"He borrowed somebody’s best suit to get married in, and never even told me about it, and the man came after it one day when he was out: ‘Oh, is that your suit?’ I said.",0.6369,0.113,0.0,0.887,1,0,0
159,"And Tom’s the first sweetie she ever had.” The bottle of whisky—a second one—was now in constant demand by all present, excepting Catherine, who “felt just as good on nothing at all.” Tom rang for the janitor and sent him for some celebrated sandwiches, which were a complete supper in themselves.",0.8519,0.171,0.026,0.803,1,0,0
160,"Yet high over the city our line of yellow windows must have contributed their share of human secrecy to the casual watcher in the darkening streets, and I saw him too, looking up and wondering.",0.4588,0.111,0.0,0.889,1,0,0
161,"Myrtle pulled her chair close to mine, and suddenly her warm breath poured over me the story of her first meeting with Tom.",0.2263,0.079,0.0,0.921,1,0,0
162,I was so excited that when I got into a taxi with him I didn’t hardly know I wasn’t getting into a subway train.,0.4005,0.137,0.0,0.863,1,0,0
163,"All I kept thinking about, over and over, was ‘You can’t live forever; you can’t live forever.’ ” She turned to Mrs. McKee and the room rang full of her artificial laughter.",0.4939,0.099,0.0,0.901,1,0,0
164,"A massage and a wave, and a collar for the dog, and one of those cute little ashtrays where you touch a spring, and a wreath with a black silk bow for mother’s grave that’ll last all summer.",0.1027,0.084,0.073,0.843,1,0,0
165,"Mr. McKee was asleep on a chair with his fists clenched in his lap, like a photograph of a man of action.",0.3612,0.122,0.0,0.878,1,0,0
166,“I’ll say it whenever I want to!,0.1511,0.242,0.0,0.758,1,0,0
167,"Dai—” Making a short deft movement, Tom Buchanan broke her nose with his open hand.",0.1027,0.178,0.156,0.667,1,0,0
168,"“I beg your pardon,” said Mr. McKee with dignity, “I didn’t know I was touching it.” “All right,” I agreed, “I’ll be glad to.” … I was standing beside his bed and he was sitting up between the sheets, clad in his underwear, with a great portfolio in his hands.",0.8979,0.225,0.0,0.775,1,0,0
169,In his blue gardens men and girls came and went like moths among the whisperings and the champagne and the stars.,0.5719,0.198,0.0,0.802,1,0,0
170,"At high tide in the afternoon I watched his guests diving from the tower of his raft, or taking the sun on the hot sand of his beach while his two motorboats slit the waters of the Sound, drawing aquaplanes over cataracts of foam.",0.0772,0.03,0.0,0.97,1,0,0
171,"On weekends his Rolls-Royce became an omnibus, bearing parties to and from the city between nine in the morning and long past midnight, while his station wagon scampered like a brisk yellow bug to meet all trains.",0.7003,0.171,0.0,0.829,1,0,0
172,"The last swimmers have come in from the beach now and are dressing upstairs; the cars from New York are parked five deep in the drive, and already the halls and salons and verandas are gaudy with primary colours, and hair bobbed in strange new ways, and shawls beyond the dreams of Castile.",0.2263,0.049,0.032,0.919,1,0,0
173,"The bar is in full swing, and floating rounds of cocktails permeate the garden outside, until the air is alive with chatter and laughter, and casual innuendo and introductions forgotten on the spot, and enthusiastic meetings between women who never knew each other’s names.",0.836,0.209,0.037,0.754,1,0,0
174,"The lights grow brighter as the earth lurches away from the sun, and now the orchestra is playing yellow cocktail music, and the opera of voices pitches a key higher.",0.5267,0.14,0.0,0.86,1,0,0
175,"Laughter is easier minute by minute, spilled with prodigality, tipped out at a cheerful word.",0.8591,0.463,0.0,0.537,1,0,0
176,"The groups change more swiftly, swell with new arrivals, dissolve and form in the same breath; already there are wanderers, confident girls who weave here and there among the stouter and more stable, become for a sharp, joyous moment the centre of a group, and then, excited with triumph, glide on through the sea-change of faces and voices and colour under the constantly changing light.",0.95,0.238,0.0,0.762,1,0,0
177,The party has begun.,0.4019,0.474,0.0,0.526,1,0,0
178,"Once there they were introduced by somebody who knew Gatsby, and after that they conducted themselves according to the rules of behaviour associated with an amusement park.",0.3612,0.088,0.0,0.912,1,0,0
179,"Sometimes they came and went without having met Gatsby at all, came for the party with a simplicity of heart that was its own ticket of admission.",0.4019,0.097,0.0,0.903,1,0,0
