chap_num,para_num,sent_num,sent_str
1,47,0,"Buccleuch, but the actual founder of my line was my grandfather’s"
1,48,0,"brother, who came here in fifty-one, sent a substitute to the Civil"
1,49,0,"War, and started the wholesale hardware business that my father"
1,50,0,carries on today
1,51,0,"I never saw this great-uncle, but I’m supposed to look like him—with"
1,52,0,special reference to the rather hard-boiled painting that hangs in
1,53,0,father’s office
1,53,1," I graduated from New Haven in 1915, just a quarter of"
1,54,0,"a century after my father, and a little later I participated in that"
1,55,0,delayed Teutonic migration known as the Great War
1,55,1, I enjoyed the
1,56,0,counter-raid so thoroughly that I came back restless
1,56,1, Instead of being
1,57,0,"the warm centre of the world, the Middle West now seemed like the"
1,58,0,ragged edge of the universe—so I decided to go East and learn the bond
1,59,0,business
1,59,1," Everybody I knew was in the bond business, so I supposed it"
1,60,0,could support one more single man
1,60,1, All my aunts and uncles talked it
1,61,0,"over as if they were choosing a prep school for me, and finally said,"
1,62,0,"“Why—ye-es,” with very grave, hesitant faces"
1,62,1, Father agreed to finance
1,63,0,"me for a year, and after various delays I came East, permanently, I"
1,64,0,"thought, in the spring of twenty-two"
1,65,0,"The practical thing was to find rooms in the city, but it was a warm"
1,66,0,"season, and I had just left a country of wide lawns and friendly"
1,67,0,"trees, so when a young man at the office suggested that we take a"
1,68,0,"house together in a commuting town, it sounded like a great idea"
1,68,1, He
1,69,0,"found the house, a weather-beaten cardboard bungalow at eighty a"
1,70,0,"month, but at the last minute the firm ordered him to Washington, and"
1,71,0,I went out to the country alone
1,71,1, I had a dog—at least I had him for a
1,72,0,"few days until he ran away—and an old Dodge and a Finnish woman, who"
1,73,0,made my bed and cooked breakfast and muttered Finnish wisdom to
1,74,0,herself over the electric stove
1,75,0,"It was lonely for a day or so until one morning some man, more"
1,76,0,"recently arrived than I, stopped me on the road"
1,77,0,“How do you get to West Egg village
1,77,1,” he asked helplessly
1,78,0,I told him
1,78,1, And as I walked on I was lonely no longer
1,78,2," I was a guide,"
1,79,0,"a pathfinder, an original settler"
1,79,1, He had casually conferred on me the
1,80,0,freedom of the neighbourhood
1,81,0,And so with the sunshine and the great bursts of leaves growing on the
1,82,0,"trees, just as things grow in fast movies, I had that familiar"
1,83,0,conviction that life was beginning over again with the summer
1,84,0,"There was so much to read, for one thing, and so much fine health to"
1,85,0,be pulled down out of the young breath-giving air
1,85,1, I bought a dozen
1,86,0,"volumes on banking and credit and investment securities, and they"
1,87,0,"stood on my shelf in red and gold like new money from the mint,"
1,88,0,promising to unfold the shining secrets that only Midas and Morgan and
1,89,0,Maecenas knew
1,89,1, And I had the high intention of reading many other
1,90,0,books besides
1,90,1, I was rather literary in college—one year I wrote a
1,91,0,series of very solemn and obvious editorials for the Yale News—and now
1,92,0,I was going to bring back all such things into my life and become
1,93,0,"again that most limited of all specialists, the “well-rounded man"
1,93,1,”
1,94,0,This isn’t just an epigram—life is much more successfully looked at
1,95,0,"from a single window, after all"
1,96,0,It was a matter of chance that I should have rented a house in one of
1,97,0,the strangest communities in North America
1,97,1, It was on that slender
1,98,0,riotous island which extends itself due east of New York—and where
1,99,0,"there are, among other natural curiosities, two unusual formations of"
1,100,0,land
1,100,1," Twenty miles from the city a pair of enormous eggs, identical in"
1,101,0,"contour and separated only by a courtesy bay, jut out into the most"
1,102,0,"domesticated body of salt water in the Western hemisphere, the great"
1,103,0,wet barnyard of Long Island Sound
1,103,1, They are not perfect ovals—like the
1,104,0,"egg in the Columbus story, they are both crushed flat at the contact"
1,105,0,end—but their physical resemblance must be a source of perpetual
1,106,0,wonder to the gulls that fly overhead
1,106,1, To the wingless a more
1,107,0,interesting phenomenon is their dissimilarity in every particular
1,108,0,except shape and size
1,109,0,"I lived at West Egg, the—well, the less fashionable of the two, though"
1,110,0,this is a most superficial tag to express the bizarre and not a little
1,111,0,sinister contrast between them
1,111,1, My house was at the very tip of the
1,112,0,"egg, only fifty yards from the Sound, and squeezed between two huge"
1,113,0,places that rented for twelve or fifteen thousand a season
1,113,1, The one on
1,114,0,my right was a colossal affair by any standard—it was a factual
1,115,0,"imitation of some Hôtel de Ville in Normandy, with a tower on one"
1,116,0,"side, spanking new under a thin beard of raw ivy, and a marble"
1,117,0,"swimming pool, and more than forty acres of lawn and garden"
1,117,1, It was
1,118,0,Gatsby’s mansion
1,118,1," Or, rather, as I didn’t know Mr"
1,118,2," Gatsby, it was a"
1,119,0,mansion inhabited by a gentleman of that name
1,119,1, My own house was an
1,120,0,"eyesore, but it was a small eyesore, and it had been overlooked, so I"
1,121,0,"had a view of the water, a partial view of my neighbour’s lawn, and"
1,122,0,the consoling proximity of millionaires—all for eighty dollars a
1,123,0,month
1,124,0,Across the courtesy bay the white palaces of fashionable East Egg
1,125,0,"glittered along the water, and the history of the summer really begins"
1,126,0,on the evening I drove over there to have dinner with the Tom
1,127,0,Buchanans
1,127,1," Daisy was my second cousin once removed, and I’d known Tom"
1,128,0,in college
1,128,1, And just after the war I spent two days with them in
1,129,0,Chicago
1,130,0,"Her husband, among various physical accomplishments, had been one of"
1,131,0,the most powerful ends that ever played football at New Haven—a
1,132,0,"national figure in a way, one of those men who reach such an acute"
1,133,0,limited excellence at twenty-one that everything afterward savours of
1,134,0,anticlimax
1,134,1, His family were enormously wealthy—even in college his
1,135,0,freedom with money was a matter for reproach—but now he’d left Chicago
1,136,0,and come East in a fashion that rather took your breath away
1,136,1, for
1,137,0,"instance, he’d brought down a string of polo ponies from Lake"
1,138,0,Forest
1,138,1, It was hard to realize that a man in my own generation was
1,139,0,wealthy enough to do that
1,140,0,Why they came East I don’t know
1,140,1, They had spent a year in France for
1,141,0,"no particular reason, and then drifted here and there unrestfully"
1,142,0,wherever people played polo and were rich together
1,142,1, This was a
1,143,0,"permanent move, said Daisy over the telephone, but I didn’t believe"
1,144,0,"it—I had no sight into Daisy’s heart, but I felt that Tom would drift"
1,145,0,"on forever seeking, a little wistfully, for the dramatic turbulence of"
1,146,0,some irrecoverable football game
1,147,0,And so it happened that on a warm windy evening I drove over to East
1,148,0,Egg to see two old friends whom I scarcely knew at all
1,148,1, Their house
1,149,0,"was even more elaborate than I expected, a cheerful red-and-white"
1,150,0,"Georgian Colonial mansion, overlooking the bay"
1,150,1, The lawn started at
1,151,0,"the beach and ran towards the front door for a quarter of a mile,"
1,152,0,jumping over sundials and brick walks and burning gardens—finally when
1,153,0,it reached the house drifting up the side in bright vines as though
1,154,0,from the momentum of its run
1,154,1, The front was broken by a line of French
1,155,0,"windows, glowing now with reflected gold and wide open to the warm"
1,156,0,"windy afternoon, and Tom Buchanan in riding clothes was standing with"
1,157,0,his legs apart on the front porch
1,158,0,He had changed since his New Haven years
1,158,1, Now he was a sturdy
1,159,0,"straw-haired man of thirty, with a rather hard mouth and a"
1,160,0,supercilious manner
1,160,1, Two shining arrogant eyes had established
1,161,0,dominance over his face and gave him the appearance of always leaning
1,162,0,aggressively forward
1,162,1, Not even the effeminate swank of his riding
1,163,0,clothes could hide the enormous power of that body—he seemed to fill
1,164,0,"those glistening boots until he strained the top lacing, and you could"
1,165,0,see a great pack of muscle shifting when his shoulder moved under his
1,166,0,thin coat
1,166,1, It was a body capable of enormous leverage—a cruel body
1,167,0,"His speaking voice, a gruff husky tenor, added to the impression of"
1,168,0,fractiousness he conveyed
1,168,1, There was a touch of paternal contempt in
1,169,0,"it, even toward people he liked—and there were men at New Haven who"
1,170,0,had hated his guts
1,171,0,"“Now, don’t think my opinion on these matters is final,” he seemed to"
1,172,0,"say, “just because I’m stronger and more of a man than you are"
1,172,1,” We
1,173,0,"were in the same senior society, and while we were never intimate I"
1,174,0,always had the impression that he approved of me and wanted me to like
1,175,0,"him with some harsh, defiant wistfulness of his own"
1,176,0,We talked for a few minutes on the sunny porch
1,177,0,"“I’ve got a nice place here,” he said, his eyes flashing about"
1,178,0,restlessly
1,179,0,"Turning me around by one arm, he moved a broad flat hand along the"
1,180,0,"front vista, including in its sweep a sunken Italian garden, a half"
1,181,0,"acre of deep, pungent roses, and a snub-nosed motorboat that bumped"
1,182,0,the tide offshore
1,183,0,"“It belonged to Demaine, the oil man"
1,183,1,"” He turned me around again,"
1,184,0,politely and abruptly
1,184,1, “We’ll go inside
1,184,2,”
1,185,0,"We walked through a high hallway into a bright rosy-coloured space,"
1,186,0,fragilely bound into the house by French windows at either end
1,186,1, The
1,187,0,windows were ajar and gleaming white against the fresh grass outside
1,188,0,that seemed to grow a little way into the house
1,188,1, A breeze blew through
1,189,0,"the room, blew curtains in at one end and out the other like pale"
1,190,0,"flags, twisting them up toward the frosted wedding-cake of the"
1,191,0,"ceiling, and then rippled over the wine-coloured rug, making a shadow"
1,192,0,on it as wind does on the sea
1,193,0,The only completely stationary object in the room was an enormous
1,194,0,couch on which two young women were buoyed up as though upon an
1,195,0,anchored balloon
1,195,1," They were both in white, and their dresses were"
1,196,0,rippling and fluttering as if they had just been blown back in after a
1,197,0,short flight around the house
1,197,1, I must have stood for a few moments
1,198,0,listening to the whip and snap of the curtains and the groan of a
1,199,0,picture on the wall
1,199,1, Then there was a boom as Tom Buchanan shut the
1,200,0,"rear windows and the caught wind died out about the room, and the"
1,201,0,curtains and the rugs and the two young women ballooned slowly to the
1,202,0,floor
1,203,0,The younger of the two was a stranger to me
1,203,1, She was extended full
1,204,0,"length at her end of the divan, completely motionless, and with her"
1,205,0,"chin raised a little, as if she were balancing something on it which"
1,206,0,was quite likely to fall
1,206,1, If she saw me out of the corner of her eyes
1,207,0,"she gave no hint of it—indeed, I was almost surprised into murmuring"
1,208,0,an apology for having disturbed her by coming in
1,209,0,"The other girl, Daisy, made an attempt to rise—she leaned slightly"
1,210,0,"forward with a conscientious expression—then she laughed, an absurd,"
1,211,0,"charming little laugh, and I laughed too and came forward into the"
1,212,0,room
1,213,0,“I’m p-paralysed with happiness
1,213,1,”
1,214,0,"She laughed again, as if she said something very witty, and held my"
1,215,0,"hand for a moment, looking up into my face, promising that there was"
1,216,0,no one in the world she so much wanted to see
1,216,1, That was a way she
1,217,0,had
1,217,1, She hinted in a murmur that the surname of the balancing girl was
1,218,0,Baker
1,218,1, (I’ve heard it said that Daisy’s murmur was only to make people
1,219,0,lean toward her
1,219,1, an irrelevant criticism that made it no less
1,220,0,charming
1,220,1,)
1,221,0,"At any rate, Miss Baker’s lips fluttered, she nodded at me almost"
1,222,0,"imperceptibly, and then quickly tipped her head back again—the object"
1,223,0,she was balancing had obviously tottered a little and given her
1,224,0,something of a fright
1,224,1, Again a sort of apology arose to my lips
1,225,0,Almost any exhibition of complete self-sufficiency draws a stunned
1,226,0,tribute from me
1,227,0,"I looked back at my cousin, who began to ask me questions in her low,"
1,228,0,thrilling voice
1,228,1, It was the kind of voice that the ear follows up and
1,229,0,"down, as if each speech is an arrangement of notes that will never be"
1,230,0,played again
1,230,1," Her face was sad and lovely with bright things in it,"
1,231,0,"bright eyes and a bright passionate mouth, but there was an excitement"
1,232,0,in her voice that men who had cared for her found difficult to forget
1,233,0,"a singing compulsion, a whispered “Listen,” a promise that she had"
1,234,0,"done gay, exciting things just a while since and that there were gay,"
1,235,0,exciting things hovering in the next hour
1,236,0,"I told her how I had stopped off in Chicago for a day on my way East,"
1,237,0,and how a dozen people had sent their love through me
1,238,0,“Do they miss me
1,238,1,” she cried ecstatically
1,239,0,“The whole town is desolate
1,239,1, All the cars have the left rear wheel
1,240,0,"painted black as a mourning wreath, and there’s a persistent wail all"
1,241,0,night along the north shore
1,241,1,”
1,242,0,“How gorgeous
1,242,1," Let’s go back, Tom"
1,242,2, Tomorrow
1,242,3,” Then she added
1,243,0,irrelevantly
1,243,1, “You ought to see the baby
1,243,2,”
1,244,0,“I’d like to
1,244,1,”
1,245,0,“She’s asleep
1,245,1, She’s three years old
1,245,2, Haven’t you ever seen her
1,245,3,”
1,246,0,“Never
1,246,1,”
1,247,0,"“Well, you ought to see her"
1,247,1, She’s—”
1,248,0,"Tom Buchanan, who had been hovering restlessly about the room, stopped"
1,249,0,and rested his hand on my shoulder
1,250,0,"“What you doing, Nick"
1,250,1,”
1,251,0,“I’m a bond man
1,251,1,”
1,252,0,“Who with
1,252,1,”
1,253,0,I told him
1,254,0,"“Never heard of them,” he remarked decisively"
1,255,0,This annoyed me
1,256,0,"“You will,” I answered shortly"
1,256,1, “You will if you stay in the East
1,256,2,”
1,257,0,"“Oh, I’ll stay in the East, don’t you worry,” he said, glancing at"
1,258,0,"Daisy and then back at me, as if he were alert for something"
1,259,0,more
1,259,1, “I’d be a God damned fool to live anywhere else
1,259,2,”
1,260,0,At this point Miss Baker said
1,260,1, “Absolutely
1,260,2,” with such suddenness that
1,261,0,I started—it was the first word she had uttered since I came into the
1,262,0,room
1,262,1," Evidently it surprised her as much as it did me, for she yawned"
1,263,0,"and with a series of rapid, deft movements stood up into the room"
1,264,0,"“I’m stiff,” she complained, “I’ve been lying on that sofa for as long"
1,265,0,as I can remember
1,265,1,”
1,266,0,"“Don’t look at me,” Daisy retorted, “I’ve been trying to get you to"
1,267,0,New York all afternoon
1,267,1,”
1,268,0,"“No, thanks,” said Miss Baker to the four cocktails just in from the"
1,269,0,pantry
1,269,1, “I’m absolutely in training
1,269,2,”
1,270,0,Her host looked at her incredulously
1,271,0,“You are
1,271,1,” He took down his drink as if it were a drop in the bottom
1,272,0,of a glass
1,272,1, “How you ever get anything done is beyond me
1,272,2,”
1,273,0,"I looked at Miss Baker, wondering what it was she “got done"
1,273,1,” I
1,274,0,enjoyed looking at her
1,274,1," She was a slender, small-breasted girl, with"
1,275,0,"an erect carriage, which she accentuated by throwing her body backward"
1,276,0,at the shoulders like a young cadet
1,276,1, Her grey sun-strained eyes looked
1,277,0,"back at me with polite reciprocal curiosity out of a wan, charming,"
1,278,0,discontented face
1,278,1," It occurred to me now that I had seen her, or a"
1,279,0,"picture of her, somewhere before"
1,280,0,"“You live in West Egg,” she remarked contemptuously"
1,280,1, “I know somebody
1,281,0,there
1,281,1,”
1,282,0,“I don’t know a single—”
1,283,0,“You must know Gatsby
1,283,1,”
1,284,0,“Gatsby
1,284,1,” demanded Daisy
1,284,2, “What Gatsby
1,284,3,”
1,285,0,Before I could reply that he was my neighbour dinner was announced
1,286,0,"wedging his tense arm imperatively under mine, Tom Buchanan compelled"
1,287,0,me from the room as though he were moving a checker to another square
1,288,0,"Slenderly, languidly, their hands set lightly on their hips, the two"
1,289,0,"young women preceded us out on to a rosy-coloured porch, open toward"
1,290,0,"the sunset, where four candles flickered on the table in the"
1,291,0,diminished wind
1,292,0,“Why candles
1,292,1,"” objected Daisy, frowning"
1,292,2, She snapped them out with her
1,293,0,fingers
1,293,1, “In two weeks it’ll be the longest day in the year
1,293,2,” She
1,294,0,looked at us all radiantly
1,294,1, “Do you always watch for the longest day
1,295,0,of the year and then miss it
1,295,1, I always watch for the longest day in
1,296,0,the year and then miss it
1,296,1,”
1,297,0,"“We ought to plan something,” yawned Miss Baker, sitting down at the"
1,298,0,table as if she were getting into bed
1,299,0,"“All right,” said Daisy"
1,299,1, “What’ll we plan
1,299,2,” She turned to me
1,300,0,helplessly
1,300,1, “What do people plan
1,300,2,”
1,301,0,Before I could answer her eyes fastened with an awed expression on her
1,302,0,little finger
1,303,0,“Look
1,303,1,” she complained
1,303,2, “I hurt it
1,303,3,”
1,304,0,We all looked—the knuckle was black and blue
1,305,0,"“You did it, Tom,” she said accusingly"
1,305,1," “I know you didn’t mean to,"
1,306,0,but you did do it
1,306,1," That’s what I get for marrying a brute of a man, a"
1,307,0,"great, big, hulking physical specimen of a—”"
1,308,0,"“I hate that word ‘hulking,’ ” objected Tom crossly, “even in"
1,309,0,kidding
1,309,1,”
1,310,0,"“Hulking,” insisted Daisy"
1,311,0,"Sometimes she and Miss Baker talked at once, unobtrusively and with a"
1,312,0,"bantering inconsequence that was never quite chatter, that was as cool"
1,313,0,as their white dresses and their impersonal eyes in the absence of all
1,314,0,desire
1,314,1," They were here, and they accepted Tom and me, making only a"
1,315,0,polite pleasant effort to entertain or to be entertained
1,315,1, They knew
1,316,0,that presently dinner would be over and a little later the evening too
1,317,0,would be over and casually put away
1,317,1, It was sharply different from the
1,318,0,"West, where an evening was hurried from phase to phase towards its"
1,319,0,"close, in a continually disappointed anticipation or else in sheer"
1,320,0,nervous dread of the moment itself
1,321,0,"“You make me feel uncivilized, Daisy,” I confessed on my second glass"
1,322,0,of corky but rather impressive claret
1,322,1, “Can’t you talk about crops or
1,323,0,something
1,323,1,”
1,324,0,"I meant nothing in particular by this remark, but it was taken up in"
1,325,0,an unexpected way
1,326,0,"“Civilization’s going to pieces,” broke out Tom violently"
1,326,1, “I’ve
1,327,0,gotten to be a terrible pessimist about things
1,327,1, Have you read The Rise
1,328,0,of the Coloured Empires by this man Goddard
1,328,1,”
1,329,0,"“Why, no,” I answered, rather surprised by his tone"
1,330,0,"“Well, it’s a fine book, and everybody ought to read it"
1,330,1, The idea is
1,331,0,if we don’t look out the white race will be—will be utterly
1,332,0,submerged
1,332,1, It’s all scientific stuff
1,332,2, it’s been proved
1,332,3,”
1,333,0,"“Tom’s getting very profound,” said Daisy, with an expression of"
1,334,0,unthoughtful sadness
1,334,1, “He reads deep books with long words in
1,335,0,them
1,335,1, What was that word we—”
1,336,0,"“Well, these books are all scientific,” insisted Tom, glancing at her"
1,337,0,impatiently
1,337,1, “This fellow has worked out the whole thing
1,337,2, It’s up to
1,338,0,"us, who are the dominant race, to watch out or these other races will"
1,339,0,have control of things
1,339,1,”
1,340,0,"“We’ve got to beat them down,” whispered Daisy, winking ferociously"
1,341,0,toward the fervent sun
1,342,0,"“You ought to live in California—” began Miss Baker, but Tom"
1,343,0,interrupted her by shifting heavily in his chair
1,344,0,“This idea is that we’re Nordics
1,344,1," I am, and you are, and you are,"
1,345,0,and—” After an infinitesimal hesitation he included Daisy with a
1,346,0,"slight nod, and she winked at me again"
1,346,1, “—And we’ve produced all the
1,347,0,"things that go to make civilization—oh, science and art, and all"
1,348,0,that
1,348,1, Do you see
1,348,2,”
1,349,0,"There was something pathetic in his concentration, as if his"
1,350,0,"complacency, more acute than of old, was not enough to him any more"
1,351,0,"When, almost immediately, the telephone rang inside and the butler"
1,352,0,left the porch Daisy seized upon the momentary interruption and leaned
1,353,0,towards me
1,354,0,"“I’ll tell you a family secret,” she whispered enthusiastically"
1,355,0,“It’s about the butler’s nose
1,355,1, Do you want to hear about the butler’s
1,356,0,nose
1,356,1,”
1,357,0,“That’s why I came over tonight
1,357,1,”
1,358,0,"“Well, he wasn’t always a butler"
1,358,1, he used to be the silver polisher
1,359,0,for some people in New York that had a silver service for two hundred
1,360,0,people
1,360,1," He had to polish it from morning till night, until finally it"
1,361,0,began to affect his nose—”
1,362,0,"“Things went from bad to worse,” suggested Miss Baker"
1,363,0,“Yes
1,363,1," Things went from bad to worse, until finally he had to give up"
1,364,0,his position
1,364,1,”
1,365,0,For a moment the last sunshine fell with romantic affection upon her
1,366,0,glowing face
1,366,1, her voice compelled me forward breathlessly as I
1,367,0,"listened—then the glow faded, each light deserting her with lingering"
1,368,0,"regret, like children leaving a pleasant street at dusk"
1,369,0,"The butler came back and murmured something close to Tom’s ear,"
1,370,0,"whereupon Tom frowned, pushed back his chair, and without a word went"
1,371,0,inside
1,371,1," As if his absence quickened something within her, Daisy leaned"
1,372,0,"forward again, her voice glowing and singing"
1,373,0,"“I love to see you at my table, Nick"
1,373,1," You remind me of a—of a rose, an"
1,374,0,absolute rose
1,374,1, Doesn’t he
1,374,2,” She turned to Miss Baker for confirmation
1,375,0,“An absolute rose
1,375,1,”
1,376,0,This was untrue
1,376,1, I am not even faintly like a rose
1,376,2, She was only
1,377,0,"extemporizing, but a stirring warmth flowed from her, as if her heart"
1,378,0,"was trying to come out to you concealed in one of those breathless,"
1,379,0,thrilling words
1,379,1, Then suddenly she threw her napkin on the table and
1,380,0,excused herself and went into the house
1,381,0,Miss Baker and I exchanged a short glance consciously devoid of
1,382,0,meaning
1,382,1, I was about to speak when she sat up alertly and said “Sh
1,382,2,”
1,383,0,in a warning voice
1,383,1, A subdued impassioned murmur was audible in the
1,384,0,"room beyond, and Miss Baker leaned forward unashamed, trying to"
1,385,0,hear
1,385,1," The murmur trembled on the verge of coherence, sank down,"
1,386,0,"mounted excitedly, and then ceased altogether"
1,387,0,“This Mr
1,387,1, Gatsby you spoke of is my neighbour—” I began
1,388,0,“Don’t talk
1,388,1, I want to hear what happens
1,388,2,”
1,389,0,“Is something happening
1,389,1,” I inquired innocently
1,390,0,“You mean to say you don’t know
1,390,1,"” said Miss Baker, honestly surprised"
1,391,0,“I thought everybody knew
1,391,1,”
1,392,0,“I don’t
1,392,1,”
1,393,0,“Why—” she said hesitantly
1,393,1, “Tom’s got some woman in New York
1,393,2,”
1,394,0,“Got some woman
1,394,1,” I repeated blankly
1,395,0,Miss Baker nodded
1,396,0,“She might have the decency not to telephone him at dinner time
1,397,0,Don’t you think
1,397,1,”
1,398,0,Almost before I had grasped her meaning there was the flutter of a
1,399,0,"dress and the crunch of leather boots, and Tom and Daisy were back at"
1,400,0,the table
1,401,0,“It couldn’t be helped
1,401,1,” cried Daisy with tense gaiety
1,402,0,"She sat down, glanced searchingly at Miss Baker and then at me, and"
1,403,0,continued
1,403,1," “I looked outdoors for a minute, and it’s very romantic"
1,404,0,outdoors
1,404,1, There’s a bird on the lawn that I think must be a
1,405,0,nightingale come over on the Cunard or White Star Line
1,405,1, He’s singing
1,406,0,away—” Her voice sang
1,406,1," “It’s romantic, isn’t it, Tom"
1,406,2,”
1,407,0,"“Very romantic,” he said, and then miserably to me"
1,407,1, “If it’s light
1,408,0,"enough after dinner, I want to take you down to the stables"
1,408,1,”
1,409,0,"The telephone rang inside, startlingly, and as Daisy shook her head"
1,410,0,"decisively at Tom the subject of the stables, in fact all subjects,"
1,411,0,vanished into air
1,411,1, Among the broken fragments of the last five minutes
1,412,0,"at table I remember the candles being lit again, pointlessly, and I"
1,413,0,"was conscious of wanting to look squarely at everyone, and yet to"
1,414,0,avoid all eyes
1,414,1," I couldn’t guess what Daisy and Tom were thinking, but"
1,415,0,"I doubt if even Miss Baker, who seemed to have mastered a certain"
1,416,0,"hardy scepticism, was able utterly to put this fifth guest’s shrill"
1,417,0,metallic urgency out of mind
1,417,1, To a certain temperament the situation
1,418,0,might have seemed intriguing—my own instinct was to telephone
1,419,0,immediately for the police
1,420,0,"The horses, needless to say, were not mentioned again"
1,420,1, Tom and Miss
1,421,0,"Baker, with several feet of twilight between them, strolled back into"
1,422,0,"the library, as if to a vigil beside a perfectly tangible body, while,"
1,423,0,"trying to look pleasantly interested and a little deaf, I followed"
1,424,0,Daisy around a chain of connecting verandas to the porch in front
1,424,1, In
1,425,0,its deep gloom we sat down side by side on a wicker settee
1,426,0,"Daisy took her face in her hands as if feeling its lovely shape, and"
1,427,0,her eyes moved gradually out into the velvet dusk
1,427,1, I saw that
1,428,0,"turbulent emotions possessed her, so I asked what I thought would be"
1,429,0,some sedative questions about her little girl
1,430,0,"“We don’t know each other very well, Nick,” she said suddenly"
1,430,1, “Even
1,431,0,if we are cousins
1,431,1, You didn’t come to my wedding
1,431,2,”
1,432,0,“I wasn’t back from the war
1,432,1,”
1,433,0,“That’s true
1,433,1,” She hesitated
1,433,2," “Well, I’ve had a very bad time, Nick,"
1,434,0,and I’m pretty cynical about everything
1,434,1,”
1,435,0,Evidently she had reason to be
1,435,1," I waited but she didn’t say any more,"
1,436,0,and after a moment I returned rather feebly to the subject of her
1,437,0,daughter
1,438,0,"“I suppose she talks, and—eats, and everything"
1,438,1,”
1,439,0,"“Oh, yes"
1,439,1,” She looked at me absently
1,439,2," “Listen, Nick"
1,439,3, let me tell you
1,440,0,what I said when she was born
1,440,1, Would you like to hear
1,440,2,”
1,441,0,“Very much
1,441,1,”
1,442,0,“It’ll show you how I’ve gotten to feel about—things
1,442,1," Well, she was"
1,443,0,less than an hour old and Tom was God knows where
1,443,1, I woke up out of
1,444,0,"the ether with an utterly abandoned feeling, and asked the nurse right"
1,445,0,away if it was a boy or a girl
1,445,1," She told me it was a girl, and so I"
1,446,0,turned my head away and wept
1,446,1," ‘All right,’ I said, ‘I’m glad it’s a"
1,447,0,girl
1,447,1, And I hope she’ll be a fool—that’s the best thing a girl can be
1,448,0,"in this world, a beautiful little fool"
1,448,1,’
1,449,0,"“You see I think everything’s terrible anyhow,” she went on in a"
1,450,0,convinced way
1,450,1, “Everybody thinks so—the most advanced people
1,450,2, And I
1,451,0,know
1,451,1, I’ve been everywhere and seen everything and done everything
1,451,2,”
1,452,0,"Her eyes flashed around her in a defiant way, rather like Tom’s, and"
1,453,0,she laughed with thrilling scorn
1,453,1," “Sophisticated—God, I’m"
1,454,0,sophisticated
1,454,1,”
1,455,0,"The instant her voice broke off, ceasing to compel my attention, my"
1,456,0,"belief, I felt the basic insincerity of what she had said"
1,456,1, It made me
1,457,0,"uneasy, as though the whole evening had been a trick of some sort to"
1,458,0,exact a contributory emotion from me
