line_num,token_num,token_str,term_str
14,6,2021,2021
14,7,[,
14,8,eBook,ebook
14,9,#,
14,10,64317,64317
14,11,],
15,0,[,
15,1,Most,most
15,2,recently,recently
15,3,updated,updated
15,4,:,
15,5,January,january
15,6,24,24
15,7,2021,2021
15,8,],
17,0,Language,language
17,1,:,
17,2,English,english
19,0,Character,character
19,1,set,set
19,2,encoding,encoding
19,3,:,
19,4,UTF-8,utf8
21,0,Produced,produced
21,1,by,by
21,2,:,
21,3,Alex,alex
21,4,Cabal,cabal
21,5,for,for
21,6,the,the
21,7,Standard,standard
21,8,Ebooks,ebooks
21,9,project,project
21,10,",",
21,11,based,based
21,12,on,on
21,13,a,a
22,0,transcription,transcription
22,1,produced,produced
22,2,for,for
22,3,Project,project
22,4,Gutenberg,gutenberg
22,5,Australia,australia
22,6,.,
24,0,*,
24,1,*,
24,2,*,
24,3,START,start
24,4,OF,of
24,5,THE,the
24,6,PROJECT,project
24,7,GUTENBERG,gutenberg
24,8,EBOOK,ebook
24,9,THE,the
24,10,GREAT,great
24,11,GATSBY,gatsby
24,12,*,
24,13,*,
24,14,*,
27,0,The,the
27,1,Great,great
27,2,Gatsby,gatsby
28,0,by,by
29,0,F.,f
29,1,Scott,scott
29,2,Fitzgerald,fitzgerald
32,0,Table,table
32,1,of,of
32,2,Contents,contents
34,0,I,i
35,0,II,ii
36,0,III,iii
37,0,IV,iv
38,0,V,v
39,0,VI,vi
40,0,VII,vii
41,0,VIII,viii
42,0,IX,ix
45,0,Once,once
45,1,again,again
46,0,to,to
47,0,Zelda,zelda
49,0,Then,then
49,1,wear,wear
49,2,the,the
49,3,gold,gold
49,4,hat,hat
49,5,",",
49,6,if,if
49,7,that,that
49,8,will,will
49,9,move,move
49,10,her,her
49,11,;,
50,0,If,if
50,1,you,you
50,2,can,can
50,3,bounce,bounce
50,4,high,high
50,5,",",
50,6,bounce,bounce
50,7,for,for
50,8,her,her
50,9,too,too
50,10,",",
51,0,Till,till
51,1,she,she
51,2,cry,cry
51,3,“,
51,4,Lover,lover
51,5,",",
51,6,gold-hatted,goldhatted
51,7,",",
51,8,high-bouncing,highbouncing
51,9,lover,lover
51,10,",",
52,0,I,i
52,1,must,must
52,2,have,have
52,3,you,you
52,4,!,
52,5,”,
54,0,Thomas,thomas
54,1,Parke,parke
54,2,d,d
54,3,’,
54,4,Invilliers,invilliers
57,0,I,i
59,0,In,in
59,1,my,my
59,2,younger,younger
59,3,and,and
59,4,more,more
59,5,vulnerable,vulnerable
59,6,years,years
59,7,my,my
59,8,father,father
59,9,gave,gave
59,10,me,me
59,11,some,some
59,12,advice,advice
60,0,that,that
60,1,I,i
60,2,’,
60,3,ve,ve
60,4,been,been
60,5,turning,turning
60,6,over,over
60,7,in,in
60,8,my,my
60,9,mind,mind
60,10,ever,ever
60,11,since,since
60,12,.,
62,0,“,
62,1,Whenever,whenever
62,2,you,you
62,3,feel,feel
62,4,like,like
62,5,criticizing,criticizing
62,6,anyone,anyone
62,7,",",
62,8,”,
62,9,he,he
62,10,told,told
62,11,me,me
62,12,",",
62,13,“,
62,14,just,just
63,0,remember,remember
63,1,that,that
63,2,all,all
63,3,the,the
63,4,people,people
63,5,in,in
63,6,this,this
63,7,world,world
63,8,haven,haven
63,9,’,
63,10,t,t
63,11,had,had
63,12,the,the
63,13,advantages,advantages
64,0,that,that
64,1,you,you
64,2,’,
64,3,ve,ve
64,4,had,had
64,5,.,
64,6,”,
66,0,He,he
66,1,didn,didn
66,2,’,
66,3,t,t
66,4,say,say
66,5,any,any
66,6,more,more
66,7,",",
66,8,but,but
66,9,we,we
66,10,’,
66,11,ve,ve
66,12,always,always
66,13,been,been
66,14,unusually,unusually
66,15,communicative,communicative
67,0,in,in
67,1,a,a
67,2,reserved,reserved
67,3,way,way
67,4,",",
67,5,and,and
67,6,I,i
67,7,understood,understood
67,8,that,that
67,9,he,he
67,10,meant,meant
67,11,a,a
67,12,great,great
67,13,deal,deal
67,14,more,more
68,0,than,than
68,1,that,that
68,2,.,
68,3,In,in
68,4,consequence,consequence
68,5,",",
68,6,I,i
68,7,’,
68,8,m,m
68,9,inclined,inclined
68,10,to,to
68,11,reserve,reserve
68,12,all,all
68,13,judgements,judgements
68,14,",",
68,15,a,a
69,0,habit,habit
69,1,that,that
69,2,has,has
69,3,opened,opened
69,4,up,up
69,5,many,many
69,6,curious,curious
69,7,natures,natures
69,8,to,to
69,9,me,me
69,10,and,and
69,11,also,also
69,12,made,made
69,13,me,me
70,0,the,the
70,1,victim,victim
70,2,of,of
70,3,not,not
70,4,a,a
70,5,few,few
70,6,veteran,veteran
70,7,bores,bores
70,8,.,
70,9,The,the
70,10,abnormal,abnormal
70,11,mind,mind
70,12,is,is
70,13,quick,quick
70,14,to,to
71,0,detect,detect
71,1,and,and
71,2,attach,attach
71,3,itself,itself
71,4,to,to
71,5,this,this
71,6,quality,quality
71,7,when,when
71,8,it,it
71,9,appears,appears
71,10,in,in
71,11,a,a
71,12,normal,normal
72,0,person,person
72,1,",",
72,2,and,and
72,3,so,so
72,4,it,it
72,5,came,came
72,6,about,about
72,7,that,that
72,8,in,in
72,9,college,college
72,10,I,i
72,11,was,was
72,12,unjustly,unjustly
72,13,accused,accused
72,14,of,of
73,0,being,being
73,1,a,a
73,2,politician,politician
73,3,",",
73,4,because,because
73,5,I,i
73,6,was,was
73,7,privy,privy
73,8,to,to
73,9,the,the
73,10,secret,secret
73,11,griefs,griefs
73,12,of,of
73,13,wild,wild
73,14,",",
74,0,unknown,unknown
74,1,men,men
74,2,.,
74,3,Most,most
74,4,of,of
74,5,the,the
74,6,confidences,confidences
74,7,were,were
74,8,unsought—frequently,unsoughtfrequently
74,9,I,i
74,10,have,have
75,0,feigned,feigned
75,1,sleep,sleep
75,2,",",
75,3,preoccupation,preoccupation
75,4,",",
75,5,or,or
75,6,a,a
75,7,hostile,hostile
75,8,levity,levity
75,9,when,when
75,10,I,i
75,11,realized,realized
75,12,by,by
76,0,some,some
76,1,unmistakable,unmistakable
76,2,sign,sign
76,3,that,that
76,4,an,an
76,5,intimate,intimate
76,6,revelation,revelation
76,7,was,was
76,8,quivering,quivering
76,9,on,on
77,0,the,the
77,1,horizon,horizon
77,2,;,
77,3,for,for
77,4,the,the
77,5,intimate,intimate
77,6,revelations,revelations
77,7,of,of
77,8,young,young
77,9,men,men
77,10,",",
77,11,or,or
77,12,at,at
77,13,least,least
78,0,the,the
78,1,terms,terms
78,2,in,in
78,3,which,which
78,4,they,they
78,5,express,express
78,6,them,them
78,7,",",
78,8,are,are
78,9,usually,usually
78,10,plagiaristic,plagiaristic
78,11,and,and
79,0,marred,marred
79,1,by,by
79,2,obvious,obvious
79,3,suppressions,suppressions
79,4,.,
79,5,Reserving,reserving
79,6,judgements,judgements
79,7,is,is
79,8,a,a
79,9,matter,matter
79,10,of,of
80,0,infinite,infinite
80,1,hope,hope
80,2,.,
80,3,I,i
80,4,am,am
80,5,still,still
80,6,a,a
80,7,little,little
80,8,afraid,afraid
80,9,of,of
80,10,missing,missing
80,11,something,something
80,12,if,if
80,13,I,i
81,0,forget,forget
81,1,that,that
81,2,",",
81,3,as,as
81,4,my,my
81,5,father,father
81,6,snobbishly,snobbishly
81,7,suggested,suggested
81,8,",",
81,9,and,and
81,10,I,i
81,11,snobbishly,snobbishly
82,0,repeat,repeat
82,1,",",
82,2,a,a
82,3,sense,sense
82,4,of,of
82,5,the,the
82,6,fundamental,fundamental
82,7,decencies,decencies
82,8,is,is
82,9,parcelled,parcelled
82,10,out,out
83,0,unequally,unequally
83,1,at,at
83,2,birth,birth
83,3,.,
85,0,And,and
85,1,",",
85,2,after,after
85,3,boasting,boasting
85,4,this,this
85,5,way,way
85,6,of,of
85,7,my,my
85,8,tolerance,tolerance
85,9,",",
85,10,I,i
85,11,come,come
85,12,to,to
85,13,the,the
85,14,admission,admission
86,0,that,that
86,1,it,it
86,2,has,has
86,3,a,a
86,4,limit,limit
86,5,.,
86,6,Conduct,conduct
86,7,may,may
86,8,be,be
86,9,founded,founded
86,10,on,on
86,11,the,the
86,12,hard,hard
86,13,rock,rock
86,14,or,or
86,15,the,the
87,0,wet,wet
87,1,marshes,marshes
87,2,",",
87,3,but,but
87,4,after,after
87,5,a,a
87,6,certain,certain
87,7,point,point
87,8,I,i
87,9,don,don
87,10,’,
87,11,t,t
87,12,care,care
87,13,what,what
87,14,it,it
87,15,’,
87,16,s,s
87,17,founded,founded
88,0,on,on
88,1,.,
88,2,When,when
88,3,I,i
88,4,came,came
88,5,back,back
88,6,from,from
88,7,the,the
88,8,East,east
88,9,last,last
88,10,autumn,autumn
88,11,I,i
88,12,felt,felt
88,13,that,that
88,14,I,i
88,15,wanted,wanted
89,0,the,the
89,1,world,world
89,2,to,to
89,3,be,be
89,4,in,in
89,5,uniform,uniform
89,6,and,and
89,7,at,at
89,8,a,a
89,9,sort,sort
89,10,of,of
89,11,moral,moral
89,12,attention,attention
89,13,forever,forever
89,14,;,
89,15,I,i
90,0,wanted,wanted
90,1,no,no
90,2,more,more
90,3,riotous,riotous
90,4,excursions,excursions
90,5,with,with
90,6,privileged,privileged
90,7,glimpses,glimpses
90,8,into,into
90,9,the,the
91,0,human,human
91,1,heart,heart
91,2,.,
91,3,Only,only
91,4,Gatsby,gatsby
91,5,",",
91,6,the,the
91,7,man,man
91,8,who,who
91,9,gives,gives
91,10,his,his
91,11,name,name
91,12,to,to
91,13,this,this
91,14,book,book
91,15,",",
91,16,was,was
92,0,exempt,exempt
92,1,from,from
92,2,my,my
92,3,reaction—Gatsby,reactiongatsby
92,4,",",
92,5,who,who
92,6,represented,represented
92,7,everything,everything
92,8,for,for
92,9,which,which
92,10,I,i
93,0,have,have
93,1,an,an
93,2,unaffected,unaffected
93,3,scorn,scorn
93,4,.,
93,5,If,if
93,6,personality,personality
93,7,is,is
93,8,an,an
93,9,unbroken,unbroken
93,10,series,series
93,11,of,of
94,0,successful,successful
94,1,gestures,gestures
94,2,",",
94,3,then,then
94,4,there,there
94,5,was,was
94,6,something,something
94,7,gorgeous,gorgeous
94,8,about,about
94,9,him,him
94,10,",",
94,11,some,some
95,0,heightened,heightened
95,1,sensitivity,sensitivity
95,2,to,to
95,3,the,the
95,4,promises,promises
95,5,of,of
95,6,life,life
95,7,",",
95,8,as,as
95,9,if,if
95,10,he,he
95,11,were,were
95,12,related,related
96,0,to,to
96,1,one,one
96,2,of,of
96,3,those,those
96,4,intricate,intricate
96,5,machines,machines
96,6,that,that
96,7,register,register
96,8,earthquakes,earthquakes
96,9,ten,ten
97,0,thousand,thousand
97,1,miles,miles
97,2,away,away
97,3,.,
97,4,This,this
97,5,responsiveness,responsiveness
97,6,had,had
97,7,nothing,nothing
97,8,to,to
97,9,do,do
97,10,with,with
97,11,that,that
98,0,flabby,flabby
98,1,impressionability,impressionability
98,2,which,which
98,3,is,is
98,4,dignified,dignified
98,5,under,under
98,6,the,the
98,7,name,name
98,8,of,of
98,9,the,the
99,0,“,
99,1,creative,creative
99,2,temperament,temperament
99,3,”,
99,4,—it,it
99,5,was,was
99,6,an,an
99,7,extraordinary,extraordinary
99,8,gift,gift
99,9,for,for
99,10,hope,hope
99,11,",",
99,12,a,a
100,0,romantic,romantic
100,1,readiness,readiness
100,2,such,such
100,3,as,as
100,4,I,i
100,5,have,have
100,6,never,never
100,7,found,found
100,8,in,in
100,9,any,any
100,10,other,other
100,11,person,person
100,12,and,and
101,0,which,which
101,1,it,it
101,2,is,is
101,3,not,not
101,4,likely,likely
101,5,I,i
101,6,shall,shall
101,7,ever,ever
101,8,find,find
101,9,again,again
101,10,.,
101,11,No—Gatsby,nogatsby
101,12,turned,turned
101,13,out,out
102,0,all,all
102,1,right,right
102,2,at,at
102,3,the,the
102,4,end,end
102,5,;,
102,6,it,it
102,7,is,is
102,8,what,what
102,9,preyed,preyed
102,10,on,on
102,11,Gatsby,gatsby
102,12,",",
102,13,what,what
102,14,foul,foul
102,15,dust,dust
103,0,floated,floated
103,1,in,in
103,2,the,the
103,3,wake,wake
103,4,of,of
103,5,his,his
103,6,dreams,dreams
103,7,that,that
103,8,temporarily,temporarily
103,9,closed,closed
103,10,out,out
103,11,my,my
104,0,interest,interest
104,1,in,in
104,2,the,the
104,3,abortive,abortive
104,4,sorrows,sorrows
104,5,and,and
104,6,short-winded,shortwinded
104,7,elations,elations
104,8,of,of
104,9,men,men
104,10,.,
106,0,--,
106,1,--,
106,2,--,
106,3,--,
106,4,--,
106,5,--,
106,6,--,
106,7,--,
106,8,--,
106,9,--,
106,10,--,
106,11,--,
106,12,--,
106,13,--,
106,14,--,
106,15,--,
106,16,--,
106,17,--,
106,18,--,
106,19,--,
106,20,--,
106,21,--,
106,22,--,
106,23,--,
106,24,--,
106,25,--,
106,26,--,
106,27,--,
106,28,--,
106,29,--,
106,30,--,
106,31,--,
106,32,--,
106,33,--,
106,34,--,
106,35,--,
108,0,My,my
108,1,family,family
108,2,have,have
108,3,been,been
108,4,prominent,prominent
108,5,",",
108,6,well-to-do,welltodo
108,7,people,people
108,8,in,in
108,9,this,this
108,10,Middle,middle
109,0,Western,western
109,1,city,city
109,2,for,for
109,3,three,three
109,4,generations,generations
109,5,.,
109,6,The,the
109,7,Carraways,carraways
109,8,are,are
109,9,something,something
109,10,of,of
109,11,a,a
110,0,clan,clan
110,1,",",
110,2,and,and
110,3,we,we
110,4,have,have
110,5,a,a
110,6,tradition,tradition
110,7,that,that
110,8,we,we
110,9,’,
110,10,re,re
110,11,descended,descended
110,12,from,from
110,13,the,the
110,14,Dukes,dukes
110,15,of,of
111,0,Buccleuch,buccleuch
111,1,",",
111,2,but,but
111,3,the,the
111,4,actual,actual
111,5,founder,founder
111,6,of,of
111,7,my,my
111,8,line,line
111,9,was,was
111,10,my,my
111,11,grandfather,grandfather
111,12,’,
111,13,s,s
112,0,brother,brother
112,1,",",
112,2,who,who
112,3,came,came
112,4,here,here
112,5,in,in
112,6,fifty-one,fiftyone
112,7,",",
112,8,sent,sent
112,9,a,a
112,10,substitute,substitute
112,11,to,to
112,12,the,the
112,13,Civil,civil
113,0,War,war
113,1,",",
113,2,and,and
113,3,started,started
113,4,the,the
113,5,wholesale,wholesale
113,6,hardware,hardware
113,7,business,business
113,8,that,that
113,9,my,my
113,10,father,father
114,0,carries,carries
114,1,on,on
114,2,today,today
114,3,.,
116,0,I,i
116,1,never,never
116,2,saw,saw
116,3,this,this
116,4,great-uncle,greatuncle
116,5,",",
116,6,but,but
116,7,I,i
116,8,’,
116,9,m,m
116,10,supposed,supposed
116,11,to,to
116,12,look,look
116,13,like,like
116,14,him—with,himwith
117,0,special,special
117,1,reference,reference
117,2,to,to
117,3,the,the
117,4,rather,rather
117,5,hard-boiled,hardboiled
117,6,painting,painting
117,7,that,that
117,8,hangs,hangs
117,9,in,in
118,0,father,father
118,1,’,
118,2,s,s
118,3,office,office
118,4,.,
118,5,I,i
118,6,graduated,graduated
118,7,from,from
118,8,New,new
118,9,Haven,haven
118,10,in,in
118,11,1915,1915
118,12,",",
118,13,just,just
118,14,a,a
118,15,quarter,quarter
118,16,of,of
119,0,a,a
119,1,century,century
119,2,after,after
119,3,my,my
119,4,father,father
119,5,",",
119,6,and,and
119,7,a,a
119,8,little,little
119,9,later,later
119,10,I,i
119,11,participated,participated
119,12,in,in
119,13,that,that
120,0,delayed,delayed
120,1,Teutonic,teutonic
120,2,migration,migration
120,3,known,known
120,4,as,as
120,5,the,the
120,6,Great,great
120,7,War,war
120,8,.,
120,9,I,i
120,10,enjoyed,enjoyed
120,11,the,the
121,0,counter-raid,counterraid
121,1,so,so
121,2,thoroughly,thoroughly
121,3,that,that
121,4,I,i
121,5,came,came
121,6,back,back
121,7,restless,restless
121,8,.,
121,9,Instead,instead
121,10,of,of
121,11,being,being
122,0,the,the
122,1,warm,warm
122,2,centre,centre
122,3,of,of
122,4,the,the
122,5,world,world
122,6,",",
122,7,the,the
122,8,Middle,middle
122,9,West,west
122,10,now,now
122,11,seemed,seemed
122,12,like,like
122,13,the,the
123,0,ragged,ragged
123,1,edge,edge
123,2,of,of
123,3,the,the
123,4,universe—so,universeso
123,5,I,i
123,6,decided,decided
123,7,to,to
123,8,go,go
123,9,East,east
123,10,and,and
123,11,learn,learn
123,12,the,the
123,13,bond,bond
124,0,business,business
124,1,.,
124,2,Everybody,everybody
124,3,I,i
124,4,knew,knew
124,5,was,was
124,6,in,in
124,7,the,the
124,8,bond,bond
124,9,business,business
124,10,",",
124,11,so,so
124,12,I,i
124,13,supposed,supposed
124,14,it,it
125,0,could,could
125,1,support,support
125,2,one,one
125,3,more,more
125,4,single,single
125,5,man,man
125,6,.,
125,7,All,all
125,8,my,my
125,9,aunts,aunts
125,10,and,and
125,11,uncles,uncles
125,12,talked,talked
125,13,it,it
126,0,over,over
126,1,as,as
126,2,if,if
126,3,they,they
126,4,were,were
126,5,choosing,choosing
126,6,a,a
126,7,prep,prep
126,8,school,school
126,9,for,for
126,10,me,me
126,11,",",
126,12,and,and
126,13,finally,finally
126,14,said,said
126,15,",",
127,0,“,
127,1,Why—ye-es,whyyees
127,2,",",
127,3,”,
127,4,with,with
127,5,very,very
127,6,grave,grave
127,7,",",
127,8,hesitant,hesitant
127,9,faces,faces
127,10,.,
127,11,Father,father
127,12,agreed,agreed
127,13,to,to
127,14,finance,finance
128,0,me,me
128,1,for,for
128,2,a,a
128,3,year,year
128,4,",",
128,5,and,and
128,6,after,after
128,7,various,various
128,8,delays,delays
128,9,I,i
128,10,came,came
128,11,East,east
128,12,",",
128,13,permanently,permanently
128,14,",",
128,15,I,i
129,0,thought,thought
129,1,",",
129,2,in,in
129,3,the,the
129,4,spring,spring
129,5,of,of
129,6,twenty-two,twentytwo
129,7,.,
131,0,The,the
131,1,practical,practical
131,2,thing,thing
131,3,was,was
131,4,to,to
131,5,find,find
131,6,rooms,rooms
131,7,in,in
131,8,the,the
131,9,city,city
131,10,",",
131,11,but,but
131,12,it,it
131,13,was,was
131,14,a,a
131,15,warm,warm
132,0,season,season
132,1,",",
132,2,and,and
132,3,I,i
132,4,had,had
132,5,just,just
132,6,left,left
132,7,a,a
132,8,country,country
132,9,of,of
132,10,wide,wide
132,11,lawns,lawns
132,12,and,and
132,13,friendly,friendly
133,0,trees,trees
133,1,",",
133,2,so,so
133,3,when,when
133,4,a,a
133,5,young,young
133,6,man,man
133,7,at,at
133,8,the,the
133,9,office,office
133,10,suggested,suggested
133,11,that,that
133,12,we,we
133,13,take,take
133,14,a,a
134,0,house,house
134,1,together,together
134,2,in,in
134,3,a,a
134,4,commuting,commuting
134,5,town,town
134,6,",",
134,7,it,it
134,8,sounded,sounded
134,9,like,like
134,10,a,a
134,11,great,great
134,12,idea,idea
134,13,.,
134,14,He,he
135,0,found,found
135,1,the,the
135,2,house,house
135,3,",",
135,4,a,a
135,5,weather-beaten,weatherbeaten
135,6,cardboard,cardboard
135,7,bungalow,bungalow
135,8,at,at
135,9,eighty,eighty
135,10,a,a
136,0,month,month
136,1,",",
136,2,but,but
136,3,at,at
136,4,the,the
136,5,last,last
136,6,minute,minute
136,7,the,the
136,8,firm,firm
136,9,ordered,ordered
136,10,him,him
136,11,to,to
136,12,Washington,washington
136,13,",",
136,14,and,and
137,0,I,i
137,1,went,went
137,2,out,out
137,3,to,to
137,4,the,the
137,5,country,country
137,6,alone,alone
137,7,.,
137,8,I,i
137,9,had,had
137,10,a,a
137,11,dog—at,dogat
137,12,least,least
137,13,I,i
137,14,had,had
137,15,him,him
137,16,for,for
137,17,a,a
138,0,few,few
138,1,days,days
138,2,until,until
138,3,he,he
138,4,ran,ran
138,5,away—and,awayand
138,6,an,an
138,7,old,old
138,8,Dodge,dodge
138,9,and,and
138,10,a,a
138,11,Finnish,finnish
138,12,woman,woman
138,13,",",
138,14,who,who
139,0,made,made
139,1,my,my
139,2,bed,bed
139,3,and,and
139,4,cooked,cooked
139,5,breakfast,breakfast
139,6,and,and
139,7,muttered,muttered
139,8,Finnish,finnish
139,9,wisdom,wisdom
139,10,to,to
140,0,herself,herself
140,1,over,over
140,2,the,the
140,3,electric,electric
140,4,stove,stove
140,5,.,
142,0,It,it
142,1,was,was
142,2,lonely,lonely
142,3,for,for
142,4,a,a
142,5,day,day
142,6,or,or
142,7,so,so
142,8,until,until
142,9,one,one
142,10,morning,morning
142,11,some,some
142,12,man,man
142,13,",",
142,14,more,more
143,0,recently,recently
143,1,arrived,arrived
143,2,than,than
143,3,I,i
143,4,",",
143,5,stopped,stopped
143,6,me,me
143,7,on,on
143,8,the,the
143,9,road,road
143,10,.,
145,0,“,
145,1,How,how
145,2,do,do
145,3,you,you
145,4,get,get
145,5,to,to
145,6,West,west
145,7,Egg,egg
145,8,village,village
145,9,?,
145,10,”,
145,11,he,he
145,12,asked,asked
145,13,helplessly,helplessly
145,14,.,
147,0,I,i
147,1,told,told
147,2,him,him
147,3,.,
147,4,And,and
147,5,as,as
147,6,I,i
147,7,walked,walked
147,8,on,on
147,9,I,i
147,10,was,was
147,11,lonely,lonely
147,12,no,no
147,13,longer,longer
147,14,.,
147,15,I,i
147,16,was,was
147,17,a,a
147,18,guide,guide
147,19,",",
148,0,a,a
148,1,pathfinder,pathfinder
148,2,",",
148,3,an,an
148,4,original,original
148,5,settler,settler
148,6,.,
148,7,He,he
148,8,had,had
148,9,casually,casually
148,10,conferred,conferred
148,11,on,on
148,12,me,me
148,13,the,the
149,0,freedom,freedom
149,1,of,of
149,2,the,the
149,3,neighbourhood,neighbourhood
149,4,.,
151,0,And,and
151,1,so,so
151,2,with,with
151,3,the,the
151,4,sunshine,sunshine
151,5,and,and
151,6,the,the
151,7,great,great
151,8,bursts,bursts
151,9,of,of
151,10,leaves,leaves
151,11,growing,growing
151,12,on,on
151,13,the,the
152,0,trees,trees
152,1,",",
152,2,just,just
152,3,as,as
152,4,things,things
152,5,grow,grow
152,6,in,in
152,7,fast,fast
152,8,movies,movies
152,9,",",
152,10,I,i
152,11,had,had
152,12,that,that
152,13,familiar,familiar
153,0,conviction,conviction
153,1,that,that
153,2,life,life
153,3,was,was
153,4,beginning,beginning
153,5,over,over
153,6,again,again
153,7,with,with
153,8,the,the
153,9,summer,summer
153,10,.,
155,0,There,there
155,1,was,was
155,2,so,so
155,3,much,much
155,4,to,to
155,5,read,read
155,6,",",
155,7,for,for
155,8,one,one
155,9,thing,thing
155,10,",",
155,11,and,and
155,12,so,so
155,13,much,much
155,14,fine,fine
155,15,health,health
155,16,to,to
156,0,be,be
156,1,pulled,pulled
156,2,down,down
156,3,out,out
156,4,of,of
156,5,the,the
156,6,young,young
156,7,breath-giving,breathgiving
156,8,air,air
156,9,.,
156,10,I,i
156,11,bought,bought
156,12,a,a
156,13,dozen,dozen
157,0,volumes,volumes
157,1,on,on
157,2,banking,banking
157,3,and,and
157,4,credit,credit
157,5,and,and
157,6,investment,investment
157,7,securities,securities
157,8,",",
157,9,and,and
157,10,they,they
158,0,stood,stood
158,1,on,on
158,2,my,my
158,3,shelf,shelf
158,4,in,in
158,5,red,red
158,6,and,and
158,7,gold,gold
158,8,like,like
158,9,new,new
158,10,money,money
158,11,from,from
158,12,the,the
158,13,mint,mint
158,14,",",
159,0,promising,promising
159,1,to,to
159,2,unfold,unfold
159,3,the,the
159,4,shining,shining
159,5,secrets,secrets
159,6,that,that
159,7,only,only
159,8,Midas,midas
159,9,and,and
159,10,Morgan,morgan
159,11,and,and
160,0,Maecenas,maecenas
160,1,knew,knew
160,2,.,
160,3,And,and
160,4,I,i
160,5,had,had
160,6,the,the
160,7,high,high
160,8,intention,intention
160,9,of,of
160,10,reading,reading
160,11,many,many
160,12,other,other
161,0,books,books
161,1,besides,besides
161,2,.,
161,3,I,i
161,4,was,was
161,5,rather,rather
161,6,literary,literary
161,7,in,in
161,8,college—one,collegeone
161,9,year,year
161,10,I,i
161,11,wrote,wrote
161,12,a,a
162,0,series,series
162,1,of,of
162,2,very,very
162,3,solemn,solemn
162,4,and,and
162,5,obvious,obvious
162,6,editorials,editorials
162,7,for,for
162,8,the,the
162,9,Yale,yale
162,10,News—and,newsand
162,11,now,now
163,0,I,i
163,1,was,was
163,2,going,going
163,3,to,to
163,4,bring,bring
163,5,back,back
163,6,all,all
163,7,such,such
163,8,things,things
163,9,into,into
163,10,my,my
163,11,life,life
163,12,and,and
163,13,become,become
164,0,again,again
164,1,that,that
164,2,most,most
164,3,limited,limited
164,4,of,of
164,5,all,all
164,6,specialists,specialists
164,7,",",
164,8,the,the
164,9,“,
164,10,well-rounded,wellrounded
164,11,man,man
164,12,.,
164,13,”,
165,0,This,this
165,1,isn,isn
165,2,’,
165,3,t,t
165,4,just,just
165,5,an,an
165,6,epigram—life,epigramlife
165,7,is,is
165,8,much,much
165,9,more,more
165,10,successfully,successfully
165,11,looked,looked
165,12,at,at
166,0,from,from
166,1,a,a
166,2,single,single
166,3,window,window
166,4,",",
166,5,after,after
166,6,all,all
166,7,.,
168,0,It,it
168,1,was,was
168,2,a,a
168,3,matter,matter
168,4,of,of
168,5,chance,chance
168,6,that,that
168,7,I,i
168,8,should,should
168,9,have,have
168,10,rented,rented
168,11,a,a
168,12,house,house
168,13,in,in
168,14,one,one
168,15,of,of
169,0,the,the
169,1,strangest,strangest
169,2,communities,communities
169,3,in,in
169,4,North,north
169,5,America,america
169,6,.,
169,7,It,it
169,8,was,was
169,9,on,on
169,10,that,that
169,11,slender,slender
170,0,riotous,riotous
170,1,island,island
170,2,which,which
170,3,extends,extends
170,4,itself,itself
170,5,due,due
170,6,east,east
170,7,of,of
170,8,New,new
170,9,York—and,yorkand
170,10,where,where
