stem_porter,n,terms
pervad,2,pervaded pervading
decenc,2,decencies decency
insist,2,insisted insistently
deal,2,deal dealing
stranger,2,stranger strangers
inspect,2,inspect inspected
pretend,2,pretend pretended
perceiv,2,perceive perceived
civil,2,civil civilization
decad,2,decade decades
hire,2,hire hired
decent,2,decent decently
perspir,2,perspiration perspired
decid,2,decide decided
decis,2,decision decisively
thrill,2,thrill thrilling
throb,2,throbbed throbbing
deck,2,deck decking
declar,2,declaration declared
hip,2,hip hips
circumst,2,circumstance circumstances
throw,2,throw throwing
perman,2,permanent permanently
clean,2,clean cleaned
hold,2,hold holding
clear,2,clear cleared
damn,2,damn damned
thin,2,thin thinning
thing,2,thing things
thirti,2,thirties thirty
dangl,2,dangles dangling
dark,2,dark darkness
coast,2,coast coasting
darken,2,darkened darkening
home,2,home homes
date,2,date dates
stretch,2,stretch stretched
day,2,day days
present,2,present presently
street,2,street streets
clerk,2,clerk clerks
preserv,2,preserved preserves
daze,2,daze dazed
press,2,pressed pressing
inquir,2,inquired inquiring
hous,2,house houses
humor,2,humorous humorously
coat,2,coat coats
hint,2,hint hinted
imperson,2,impersonal impersonally
piti,2,pitiful pity
switch,2,switch switched
includ,2,included including
swing,2,swing swinging
control,2,control controlled
impati,2,impatient impatiently
convey,2,convey conveyed
pitch,2,pitch pitches
tear,2,tearing tears
telephon,2,telephone telephoned
immedi,2,immediate immediately
complain,2,complain complained
complac,2,complacency complacent
swell,2,swell swelling
compel,2,compel compelled
copi,2,copies copy
cordial,2,cordial cordials
corner,2,corner corners
polish,2,polish polisher
polit,2,polite politely
rule,2,rule rules
swoon,2,swooned swooning
crowd,2,crowd crowded
taxi,2,taxi taxis
tangl,2,tangle tangled
conscienti,2,conscientious conscientiously
tan,2,tan tanned
conscious,2,consciously consciousness
in,2,in ins
confidenti,2,confidential confidentially
consid,2,consider considered
confess,2,confess confessed
tank,2,tank tanked
tap,2,tapped tapping
conduct,2,conduct conducted
tapestri,2,tapestried tapestry
plan,2,plan plans
tact,2,tactful tactfully
tabl,2,table tables
plaid,2,plaid plaids
contain,2,contain contained
sympath,2,sympathized sympathizing
import,2,important importer
contemptu,2,contemptuous contemptuously
impli,2,implied implying
increas,2,increased increasing
corrobor,2,corroborate corroborated
commut,2,commutation commuting
ident,2,identical identity
crawl,2,crawled crawls
creak,2,creak creaking
comfort,2,comfortable comforter
terrac,2,terrace terraced
hundr,2,hundred hundreds
hum,2,hum humming
indiffer,2,indifference indifferent
cricket,2,cricket crickets
colleg,2,college colleges
sun,2,sun suns
physic,2,physical physically
collaps,2,collapse collapsed
hover,2,hovered hovering
phrase,2,phrase phrases
individu,2,individual individually
phone,2,phone phoned
inevit,2,inevitable inevitably
their,2,their theirs
crouch,2,crouched crouching
cocktail,2,cocktail cocktails
infinit,2,infinite infinitely
superior,2,superior superiority
hunt,2,hunted hunting
suppli,2,supplied supplies
pool,2,pool pools
tender,2,tender tenderness
swallow,2,swallowed swallows
commit,2,commit committed
indefinit,2,indefinite indefinitely
idea,2,idea ideas
suspici,2,suspicious suspiciously
pig,2,pig pigs
counter,2,counter countered
piec,2,piece pieces
poolroom,2,poolroom poolrooms
cover,2,cover covered
hush,2,hush hushed
coupl,2,couple couples
suppress,2,suppressed suppressions
suppos,2,suppose supposed
tent,2,tent tentatively
command,2,command commanded
pictur,2,picture pictures
husband,2,husband husbands
cousin,2,cousin cousins
conting,2,contingencies contingency
quartet,2,quartet quartets
stori,2,stories story
exult,2,exultation exulting
shirt,2,shirt shirts
shiftless,2,shiftless shiftlessness
resolv,2,resolved resolves
explain,2,explain explained
girl,2,girl girls
sheet,2,sheet sheets
explod,2,exploded exploding
respect,2,respectful respectfully
gin,2,gin gins
extend,2,extended extends
restaur,2,restaurant restaurants
restless,2,restless restlessness
ghost,2,ghost ghosts
share,2,share sharing
eyebrow,2,eyebrow eyebrows
exercis,2,exercise exercises
gestur,2,gesture gestures
fail,2,fail failed
settl,2,settle settled
faint,2,faint fainted
set,2,set setting
servant,2,servant servants
faith,2,faith faithful
revel,2,revelation revelations
familiar,2,familiar familiarity
familiarit,2,familiarit familiarits
separ,2,separate separated
sentiment,2,sentimental sentimentality
sentenc,2,sentence sentences
gaudi,2,gaudiness gaudy
glare,2,glare glaring
glass,2,glass glasses
store,2,store stored
shout,2,shout shouted
enthusiast,2,enthusiastic enthusiastically
remind,2,remind reminded
remot,2,remote remotely
sidewalk,2,sidewalk sidewalks
side,2,side sides
rent,2,rent rented
repair,2,repair repairing
repeat,2,repeat repeated
establish,2,established establishment
shuffl,2,shuffled shuffling
go,2,go going
even,2,even evening
glove,2,glove gloved
event,2,event events
repres,2,represented representing
excus,2,excuse excused
reproach,2,reproach reproachfully
reput,2,reputation reputed
resembl,2,resemblance resemble
glint,2,glinted glints
glimps,2,glimpse glimpses
shore,2,shore shores
examin,2,examined examining
shop,2,shop shops
glide,2,glide gliding
except,2,except excepting
exchang,2,exchanged exchanging
shoe,2,shoe shoes
resent,2,resented resentment
shiver,2,shiver shivered
fascin,2,fascinated fascination
send,2,send sends
gasp,2,gasped gasping
fragment,2,fragment fragments
frighten,2,frightened frightening
flavour,2,flavour flavoured
flicker,2,flicker flickered
friend,2,friend friends
room,2,room rooms
float,2,floated floating
savag,2,savage savagely
fresh,2,fresh freshness
rope,2,rope ropes
flow,2,flow flowed
rose,2,rose roses
fluctuat,2,fluctuate fluctuating
frantic,2,frantic frantically
sandwich,2,sandwich sandwiches
saloon,2,saloon saloons
sell,2,sell selling
fool,2,fool fooled
salon,2,salon salons
sail,2,sail sailing
row,2,row rows
forc,2,force forced
found,2,found founded
rub,2,rub rubbing
sad,2,sad sadness
forget,2,forget forgetting
rude,2,rude rudely
rug,2,rug rugs
rustl,2,rustle rustling
formal,2,formal formality
forti,2,forties forty
roll,2,rolled rolling
flannel,2,flannel flannels
scene,2,scene scenes
rock,2,rock rocked
favour,2,favour favours
ride,2,ride riding
select,2,selected selection
feel,2,feel feeling
seiz,2,seized seizes
fella,2,fella fellas
garag,2,garage garages
fender,2,fender fenders
feroci,2,ferocious ferociously
ring,2,ring ringing
secret,2,secret secrets
game,2,game games
seat,2,seat seats
gaieti,2,gaieties gaiety
sea,2,sea seas
fifti,2,fifties fifty
rise,2,rise rising
fight,2,fight fights
find,2,find finding
road,2,road roads
finger,2,finger fingers
scorn,2,scorn scornful
scold,2,scolded scolding
fire,2,fire fired
firm,2,firm firmness
roar,2,roared roaring
fish,2,fish fishing
fruit,2,fruit fruits
sceptic,2,sceptically scepticism
enorm,2,enormous enormously
signific,2,significance significant
silent,2,silent silently
distort,2,distorted distortion
discuss,2,discuss discussing
pursu,2,pursued pursuing
dislik,2,dislike disliked
dismal,2,dismal dismally
put,2,put putting
have,2,have having
pyjama,2,pyjama pyjamas
specimen,2,specimen specimens
haunt,2,haunted haunting
speak,2,speak speaking
dissolv,2,dissolve dissolving
hate,2,hate hated
distast,2,distaste distasteful
spasm,2,spasm spasms
sparkl,2,sparkles sparkling
happi,2,happiness happy
hat,2,hat hats
disturb,2,disturb disturbed
space,2,space spaces
souvenir,2,souvenir souvenirs
divis,2,division divisions
cigarett,2,cigarette cigarettes
divorc,2,divorce divorced
harsh,2,harsh harshness
harrow,2,harrowed harrowing
question,2,question questions
sort,2,sort sorts
dog,2,dog dogs
quicken,2,quickened quickening
dollar,2,dollar dollars
disappoint,2,disappointed disappointment
disappear,2,disappeared disappearing
sprawl,2,sprawled sprawling
spring,2,spring springs
hill,2,hill hills
stock,2,stock stocked
delay,2,delayed delays
delic,2,delicate delicately
privileg,2,privilege privileged
delight,2,delight delighted
deni,2,denied denying
produc,2,produced producer
depress,2,depressed depression
describ,2,describe described
desert,2,deserted deserting
deserv,2,deserved deserves
station,2,station stations
state,2,state states
despair,2,despair despairing
startl,2,startled startling
desper,2,desperate desperately
detect,2,detect detective
star,2,star stars
promot,2,promoted promoter
standard,2,standard standards
herd,2,herded herding
stain,2,stain stained
her,2,her hers
differ,2,difference different
stabl,2,stable stables
protest,2,protest protested
dim,2,dim dimmed
squar,2,square squarely
domin,2,dominance dominant
door,2,door doors
reluct,2,reluctance reluctant
electr,2,electric electricity
ground,2,ground grounds
slow,2,slow slowed
groceri,2,groceries grocery
grief,2,grief griefs
reason,2,reason reasons
ecstat,2,ecstatic ecstatically
recent,2,recent recently
educ,2,educated education
effort,2,effort efforts
egg,2,egg eggs
recov,2,recover recovering
skin,2,skin skins
grave,2,grave gravely
elabor,2,elaborate elaborateness
sit,2,sit sitting
quiver,2,quivered quivering
sister,2,sister sisters
elev,2,elevated elevator
regard,2,regarded regarding
sing,2,sing singing
embarrass,2,embarrassed embarrassment
emerg,2,emerged emergency
emot,2,emotion emotions
employ,2,employed employer
empti,2,emptiness empty
enchant,2,enchanted enchanting
relat,2,related relations
reliev,2,relieved relieving
endur,2,endure endured
engag,2,engaged engaging
group,2,group groups
grow,2,grow growing
earnest,2,earnest earnestness
gruff,2,gruff gruffness
sometim,2,sometime sometimes
hall,2,hall halls
rag,2,rag ragged
rail,2,rail railed
rain,2,rain raining
soldier,2,soldier soldiers
rais,2,raised raising
dressingroom,2,dressingroom dressingrooms
dri,2,dried dry
drink,2,drink drinking
drip,2,drip dripping
drive,2,drive driving
driver,2,driver drivers
drugstor,2,drugstore drugstores
drum,2,drum drums
gust,2,gust gusts
snell,2,snell snells
duke,2,duke dukes
sneer,2,sneer sneering
snatch,2,snatch snatched
snap,2,snap snapped
dump,2,dumping dumps
smirk,2,smirk smirkes
reach,2,reach reached
guest,2,guest guests
guess,2,guess guessed
eager,2,eager eagerness
ear,2,ear ears
readi,2,readiness ready
circl,2,circle circles
month,2,month months
place,2,place places
machin,2,machine machines
brick,2,brick bricks
wipe,2,wiped wiping
wire,2,wire wires
becom,2,become becomes
becker,2,becker beckers
machinegun,2,machinegun machineguns
key,2,key keys
wise,2,wise wised
bright,2,bright brightness
luxuri,2,luxuriated luxury
aggress,2,aggressive aggressively
beauti,2,beautiful beauty
beat,2,beat beating
keep,2,keep keeping
wish,2,wish wished
bring,2,bring bringing
wist,2,wistfully wistfulness
musicroom,2,musicroom musicrooms
winter,2,winter winters
kill,2,kill killed
kind,2,kind kinds
wink,2,winked winking
bound,2,bound bounded
understand,2,understand understanding
beg,2,beg begged
metal,2,metal metallic
valu,2,value valued
boy,2,boy boys
brace,2,brace bracing
window,2,window windows
vanish,2,vanished vanishing
brake,2,brake brakes
air,2,air aired
mutter,2,muttered muttering
knee,2,knee knees
break,2,break breaking
bedroom,2,bedroom bedrooms
wing,2,wing wings
breed,2,breed breeding
afternoon,2,afternoon afternoons
bear,2,bear bearing
arm,2,arm arms
bum,2,bum bumming
unutter,2,unutterable unutterably
turbul,2,turbulence turbulent
word,2,word words
bathroom,2,bathroom bathrooms
bath,2,bath baths
watcher,2,watcher watchers
nordic,2,nordic nordics
adjust,2,adjusted adjustment
owley,2,owleyed owleyes
twist,2,twisted twisting
jovial,2,jovial jovially
tune,2,tune tunes
vestibul,2,vestibule vestibules
journal,2,journal journalism
mingl,2,mingled mingling
minist,2,minister ministering
burst,2,burst bursts
wash,2,wash washing
advantag,2,advantage advantages
water,2,water waters
overwhelm,2,overwhelmed overwhelming
buchanan,2,buchanan buchanans
twinkl,2,twinkle twinkled
twin,2,twin twins
way,2,way ways
muscl,2,muscle muscles
brother,2,brother brothers
bead,2,beaded beads
overlook,2,overlooked overlooking
mile,2,mile miles
ascertain,2,ascertain ascertained
brush,2,brush brushed
affair,2,affair affairs
lift,2,lifted lifting
be,2,be being
million,2,million millions
jump,2,jumped jumping
veranda,2,veranda verandas
occasion,2,occasional occasionally
other,2,other others
letter,2,letter letters
ad,2,added adding
append,2,appended appendicitis
blanket,2,blanket blankets
legend,2,legend legends
blaze,2,blazed blazing
amus,2,amused amusement
appal,2,appalled appalling
nerv,2,nerve nerves
one,2,one ones
unmistak,2,unmistakable unmistakably
american,2,american americans
blossom,2,blossomed blossoms
whip,2,whip whips
bend,2,bend bending
negro,2,negro negroes
mckee,2,mckee mckees
urg,2,urged urging
whistl,2,whistle whistles
amaz,2,amazed amazing
blink,2,blink blinking
apolog,2,apologize apology
anchor,2,anchor anchored
unpleas,2,unpleasant unpleasantness
match,2,match matchings
night,2,night nights
unsuccess,2,unsuccessful unsuccessfully
learn,2,learn learned
bird,2,bird birds
leg,2,leg legs
leak,2,leaked leaking
biscuit,2,biscuit biscuits
bet,2,bet betting
unreal,2,unreal unreality
newspap,2,newspaper newspapers
western,2,western westerners
besid,2,beside besides
mass,2,mass massed
legal,2,legal legally
master,2,master mastered
wheel,2,wheel wheeled
lawn,2,lawn lawns
bloom,2,bloomed blooms
oper,2,operate operations
origin,2,original originated
border,2,border bordered
lamp,2,lamp lamps
near,2,near neared
wed,2,wed wedding
orchestra,2,orchestra orchestras
orchid,2,orchid orchids
bootlegg,2,bootlegger bootleggers
magic,2,magic magical
let,2,let letting
ladi,2,ladies lady
blue,2,blue blues
mention,2,mention mentioned
born,2,born borne
magazin,2,magazine magazines
vagu,2,vague vaguely
argu,2,argue argued
argument,2,argument arguments
will,2,will willing
bottl,2,bottle bottles
orang,2,orange oranges
main,2,main maine
book,2,book books
memori,2,memories memory
late,2,late lately
last,2,last lasted
lemon,2,lemon lemons
approv,2,approved approving
boat,2,boat boats
major,2,major majority
use,2,use used
bob,2,bob bobbed
bell,2,bell bells
offer,2,offer offered
offend,2,offend offended
week,2,week weeks
lap,2,lap lapped
melodi,2,melodious melody
melt,2,melt melted
bond,2,bond bonds
lane,2,lane lanes
page,2,page pages
ador,2,adorable adore
busi,2,business busy
visibl,2,visible visibly
ceremoni,2,ceremoniously ceremony
balanc,2,balance balancing
irresist,2,irresistible irresistibly
bake,2,baked baking
chair,2,chair chairs
violent,2,violent violently
irregular,2,irregular irregularity
year,2,year years
visitor,2,visitor visitors
banjo,2,banjo banjoes
lower,2,lower lowered
abound,2,abounded abounding
motorboat,2,motorboat motorboats
notic,2,notice noticed
investig,2,investigate investigation
invest,2,investment investments
yellow,2,yellow yellowing
charm,2,charm charming
astound,2,astounded astounding
yard,2,yard yards
passion,2,passion passionate
absent,2,absent absently
town,2,town towns
assur,2,assure assured
abstract,2,abstracted abstraction
cater,2,caterer caterers
note,2,note notes
towel,2,towel towels
toward,2,toward towards
tournament,2,tournament tournaments
absorb,2,absorbed absorbing
balloon,2,balloon ballooned
caus,2,cause causing
it,2,it its
ceas,2,ceased ceasing
issu,2,issue issued
toss,2,tossed tossing
isol,2,isolated isolation
trust,2,trust trusting
paus,2,pause paused
local,2,local locality
introduct,2,introduction introductions
morn,2,morning mornings
aunt,2,aunt aunts
authent,2,authentic authentically
author,2,authorities authority
authorit,2,authoritative authoritatively
lot,2,lot lots
automat,2,automatic automatically
chill,2,chill chilled
tiger,2,tiger tigers
choke,2,choked choking
choos,2,choose choosing
your,2,your yours
ticket,2,ticket tickets
intens,2,intense intensity
intend,2,intended intending
aw,2,awful awfully
automobil,2,automobile automobiles
chrysti,2,chrystie chrysties
volum,2,volume volumes
number,2,number numbers
introduc,2,introduce introduced
time,2,time times
attach,2,attach attached
notion,2,notion notions
abandon,2,abandon abandoned
chauffeur,2,chauffeur chauffeurs
wall,2,wall walls
pay,2,pay paying
attempt,2,attempt attempting
pearl,2,pearl pearls
moment,2,moment moments
tipto,2,tiptoed tiptoes
cheek,2,cheek cheeks
intim,2,intimate intimation
attract,2,attracted attractively
peer,2,peered peering
voic,2,voice voices
monday,2,monday mondays
audibl,2,audible audibly
track,2,track tracks
absolut,2,absolute absolutely
unusu,2,unusual unusually
assert,2,asserted assertions
tree,2,tree trees
line,2,line lined
paper,2,paper papers
lunch,2,lunch lunched
palac,2,palace palaces
wreath,2,wreath wreaths
movement,2,movement movements
accus,2,accusations accused
car,2,car cars
miser,2,miserable miserably
pair,2,pair pairs
trot,2,trotted trotting
cake,2,cake cakes
accompani,2,accompanied accompanies
accident,2,accidental accidentally
capac,2,capacities capacity
liquor,2,liquor liquors
wrap,2,wrapped wrapping
observ,2,observed observers
mirror,2,mirror mirrored
act,2,act acting
nose,2,nose noses
acr,2,acre acres
bare,2,bare barely
acquaint,2,acquaintance acquaintances
trick,2,trick tricks
trembl,2,trembled trembling
lip,2,lip lips
movi,2,movie movies
pant,2,panting pants
minut,2,minute minutes
jaunti,2,jauntiness jaunty
tremend,2,tremendous tremendously
troubl,2,trouble troubled
worri,2,worried worry
tragic,2,tragic tragically
write,2,write writing
carriag,2,carriage carriages
carraway,2,carraway carraways
jingl,2,jingle jingled
button,2,button buttons
accept,2,accept accepted
villag,2,village villages
parti,2,parties party
careless,2,careless carelessness
transact,2,transaction transactions
nostril,2,nostril nostrils
associ,2,associated association
transit,2,transit transition
yacht,2,yacht yachting
mr,2,mr mrs
buy,2,buy buys
actual,2,actual actually
redol,1,redolent
nineteenhundr,1,nineteenhundreds
nickel,1,nickel
regal,1,regal
nicola,1,nicolas
redandwhit,1,redandwhite
nineteennineteen,1,nineteennineteen
nineteenseventeen,1,nineteenseventeen
repos,1,reposing
nightingal,1,nightingale
noun,1,noun
nightand,1,nightand
normal,1,normal
reduc,1,reduced
reflect,1,reflected
replac,1,replaced
repel,1,repelled
normandi,1,normandy
redbelt,1,redbelted
real,1,real
repli,1,reply
nine,1,nine
reactiongatsbi,1,reactiongatsby
realhav,1,realhave
redhair,1,redhaired
nightmaregrotesqu,1,nightmaregrotesque
realism,1,realism
nineteeneighteen,1,nineteeneighteen
north,1,north
renew,1,renewals
nonolfactori,1,nonolfactory
notorieti,1,notoriety
relinquish,1,relinquished
reced,1,recedes
receiv,1,receiver
noisi,1,noisy
reluctantli,1,reluctantly
receptacl,1,receptacles
noonbut,1,noonbut
reject,1,rejected
recogniz,1,recognizable
noon,1,noon
nonsens,1,nonsense
rectangl,1,rectangle
recognit,1,recognition
none,1,none
reciproc,1,reciprocal
relief,1,relief
not,1,not
recogn,1,recognized
rejoin,1,rejoin
reclin,1,reclining
relentless,1,relentless
remaina,1,remainas
reassuringli,1,reassuringly
realiti,1,reality
reappear,1,reappeared
render,1,rendered
red,1,red
notori,1,notorious
no,1,no
remov,1,removed
nobil,1,nobility
realli,1,really
nobodi,1,nobody
nonexist,1,nonexistent
recurr,1,recurrent
nois,1,noise
regist,1,register
rear,1,rear
nogatsbi,1,nogatsby
regret,1,regret
nothingonli,1,nothingonly
noth,1,nothing
noi,1,noi
regular,1,regular
nope,1,nope
nor,1,nor
retribut,1,retribution
nick,1,nick
roebuck,1,roebuck
movementsh,1,movementshe
rob,1,rob
robin,1,robin
robust,1,robust
rockefel,1,rockefeller
rocki,1,rocky
rockingfor,1,rockingfor
rode,1,rode
mouthpiec,1,mouthpiece
roadster,1,roadster
roller,1,roller
rollsroyc,1,rollsroyce
mouth,1,mouth
romanc,1,romances
moustach,1,moustache
romant,1,romantic
romecollect,1,romecollecting
romp,1,romp
roam,1,roamed
roadsid,1,roadside
roomh,1,roomhe
ripe,1,ripe
rind,1,rinds
muhlbach,1,muhlbach
riot,1,riot
rioter,1,rioters
muffl,1,muffled
muddi,1,muddy
riotou,1,riotous
rip,1,ripped
muchyou,1,muchyou
roadhous,1,roadhouse
ripley,1,ripley
much,1,much
risen,1,risen
risesh,1,riseshe
movingpictur,1,movingpicture
rivalri,1,rivalry
river,1,river
rivulet,1,rivulets
roof,1,roofs
roosevelt,1,roosevelt
mulreadi,1,mulreadys
morgan,1,morgan
rove,1,roved
moth,1,moths
most,1,most
morningand,1,morningand
rowboat,1,rowboat
rowdi,1,rowdy
