chap_num,para_num,sent_num,token_num,pos_tuple,pos,token_str,term_str,term_id
1,8,0,8,"('to', 'TO')",TO,to,to,100
1,8,0,9,"('me', 'PRP')",PRP,me,me,100
1,8,0,10,"('and', 'CC')",CC,and,and,100
1,8,0,11,"('also', 'RB')",RB,also,also,100
1,8,0,12,"('made', 'VBD')",VBD,made,made,100
1,8,0,13,"('me', 'PRP')",PRP,me,me,100
1,9,0,0,"('the', 'DT')",DT,the,the,100
1,9,0,1,"('victim', 'NN')",NN,victim,victim,100
1,9,0,2,"('of', 'IN')",IN,of,of,100
1,9,0,3,"('not', 'RB')",RB,not,not,100
1,9,0,4,"('a', 'DT')",DT,a,a,100
1,9,0,5,"('few', 'JJ')",JJ,few,few,100
1,9,0,6,"('veteran', 'NN')",NN,veteran,veteran,100
1,9,0,7,"('bores', 'NNS')",NNS,bores,bores,100
1,9,0,8,"('.', '.')",.,.,,100
1,9,1,0,"('The', 'DT')",DT,The,the,100
1,9,1,1,"('abnormal', 'JJ')",JJ,abnormal,abnormal,100
1,9,1,2,"('mind', 'NN')",NN,mind,mind,100
1,9,1,3,"('is', 'VBZ')",VBZ,is,is,100
1,9,1,4,"('quick', 'JJ')",JJ,quick,quick,100
1,9,1,5,"('to', 'TO')",TO,to,to,100
1,10,0,0,"('detect', 'NN')",NN,detect,detect,100
1,10,0,1,"('and', 'CC')",CC,and,and,100
1,10,0,2,"('attach', 'VB')",VB,attach,attach,100
1,10,0,3,"('itself', 'PRP')",PRP,itself,itself,100
1,10,0,4,"('to', 'TO')",TO,to,to,100
1,10,0,5,"('this', 'DT')",DT,this,this,100
1,10,0,6,"('quality', 'NN')",NN,quality,quality,100
1,10,0,7,"('when', 'WRB')",WRB,when,when,100
1,10,0,8,"('it', 'PRP')",PRP,it,it,100
1,10,0,9,"('appears', 'VBZ')",VBZ,appears,appears,100
1,10,0,10,"('in', 'IN')",IN,in,in,100
1,10,0,11,"('a', 'DT')",DT,a,a,100
1,10,0,12,"('normal', 'JJ')",JJ,normal,normal,100
1,11,0,0,"('person', 'NN')",NN,person,person,100
1,11,0,1,"(',', ',')",",",",",,100
1,11,0,2,"('and', 'CC')",CC,and,and,100
1,11,0,3,"('so', 'RB')",RB,so,so,100
1,11,0,4,"('it', 'PRP')",PRP,it,it,100
1,11,0,5,"('came', 'VBD')",VBD,came,came,100
1,11,0,6,"('about', 'IN')",IN,about,about,100
1,11,0,7,"('that', 'DT')",DT,that,that,100
1,11,0,8,"('in', 'IN')",IN,in,in,100
1,11,0,9,"('college', 'NN')",NN,college,college,100
1,11,0,10,"('I', 'PRP')",PRP,I,i,100
1,11,0,11,"('was', 'VBD')",VBD,was,was,100
1,11,0,12,"('unjustly', 'RB')",RB,unjustly,unjustly,100
1,11,0,13,"('accused', 'VBN')",VBN,accused,accused,100
1,11,0,14,"('of', 'IN')",IN,of,of,100
1,12,0,0,"('being', 'VBG')",VBG,being,being,100
1,12,0,1,"('a', 'DT')",DT,a,a,100
1,12,0,2,"('politician', 'NN')",NN,politician,politician,100
1,12,0,3,"(',', ',')",",",",",,100
1,12,0,4,"('because', 'IN')",IN,because,because,100
1,12,0,5,"('I', 'PRP')",PRP,I,i,100
1,12,0,6,"('was', 'VBD')",VBD,was,was,100
1,12,0,7,"('privy', 'VBN')",VBN,privy,privy,100
1,12,0,8,"('to', 'TO')",TO,to,to,100
1,12,0,9,"('the', 'DT')",DT,the,the,100
1,12,0,10,"('secret', 'JJ')",JJ,secret,secret,100
1,12,0,11,"('griefs', 'NN')",NN,griefs,griefs,100
1,12,0,12,"('of', 'IN')",IN,of,of,100
1,12,0,13,"('wild', 'JJ')",JJ,wild,wild,100
1,12,0,14,"(',', ',')",",",",",,100
1,13,0,0,"('unknown', 'JJ')",JJ,unknown,unknown,100
1,13,0,1,"('men', 'NNS')",NNS,men,men,100
1,13,0,2,"('.', '.')",.,.,,100
1,13,1,0,"('Most', 'JJS')",JJS,Most,most,100
1,13,1,1,"('of', 'IN')",IN,of,of,100
1,13,1,2,"('the', 'DT')",DT,the,the,100
1,13,1,3,"('confidences', 'NNS')",NNS,confidences,confidences,100
1,13,1,4,"('were', 'VBD')",VBD,were,were,100
1,13,1,5,"('unsought—frequently', 'RB')",RB,unsought—frequently,unsoughtfrequently,100
1,13,1,6,"('I', 'PRP')",PRP,I,i,100
1,13,1,7,"('have', 'VBP')",VBP,have,have,100
1,14,0,0,"('feigned', 'VBN')",VBN,feigned,feigned,100
1,14,0,1,"('sleep', 'NN')",NN,sleep,sleep,100
1,14,0,2,"(',', ',')",",",",",,100
1,14,0,3,"('preoccupation', 'NN')",NN,preoccupation,preoccupation,100
1,14,0,4,"(',', ',')",",",",",,100
1,14,0,5,"('or', 'CC')",CC,or,or,100
1,14,0,6,"('a', 'DT')",DT,a,a,100
1,14,0,7,"('hostile', 'JJ')",JJ,hostile,hostile,100
1,14,0,8,"('levity', 'NN')",NN,levity,levity,100
1,14,0,9,"('when', 'WRB')",WRB,when,when,100
1,14,0,10,"('I', 'PRP')",PRP,I,i,100
1,14,0,11,"('realized', 'VBN')",VBN,realized,realized,100
1,14,0,12,"('by', 'IN')",IN,by,by,100
1,15,0,0,"('some', 'DT')",DT,some,some,100
1,15,0,1,"('unmistakable', 'JJ')",JJ,unmistakable,unmistakable,100
1,15,0,2,"('sign', 'NN')",NN,sign,sign,100
1,15,0,3,"('that', 'IN')",IN,that,that,100
1,15,0,4,"('an', 'DT')",DT,an,an,100
1,15,0,5,"('intimate', 'JJ')",JJ,intimate,intimate,100
1,15,0,6,"('revelation', 'NN')",NN,revelation,revelation,100
1,15,0,7,"('was', 'VBD')",VBD,was,was,100
1,15,0,8,"('quivering', 'VBG')",VBG,quivering,quivering,100
1,15,0,9,"('on', 'IN')",IN,on,on,100
1,16,0,0,"('the', 'DT')",DT,the,the,100
1,16,0,1,"('horizon', 'NN')",NN,horizon,horizon,100
1,16,0,2,"(';', ':')",:,;,,100
1,16,0,3,"('for', 'IN')",IN,for,for,100
1,16,0,4,"('the', 'DT')",DT,the,the,100
1,16,0,5,"('intimate', 'JJ')",JJ,intimate,intimate,100
1,16,0,6,"('revelations', 'NNS')",NNS,revelations,revelations,100
1,16,0,7,"('of', 'IN')",IN,of,of,100
1,16,0,8,"('young', 'JJ')",JJ,young,young,100
1,16,0,9,"('men', 'NNS')",NNS,men,men,100
1,16,0,10,"(',', ',')",",",",",,100
1,16,0,11,"('or', 'CC')",CC,or,or,100
1,16,0,12,"('at', 'IN')",IN,at,at,100
1,16,0,13,"('least', 'JJS')",JJS,least,least,100
1,17,0,0,"('the', 'DT')",DT,the,the,100
1,17,0,1,"('terms', 'NNS')",NNS,terms,terms,100
1,17,0,2,"('in', 'IN')",IN,in,in,100
1,17,0,3,"('which', 'WDT')",WDT,which,which,100
1,17,0,4,"('they', 'PRP')",PRP,they,they,100
1,17,0,5,"('express', 'VBP')",VBP,express,express,100
1,17,0,6,"('them', 'PRP')",PRP,them,them,100
1,17,0,7,"(',', ',')",",",",",,100
1,17,0,8,"('are', 'VBP')",VBP,are,are,100
1,17,0,9,"('usually', 'RB')",RB,usually,usually,100
1,17,0,10,"('plagiaristic', 'JJ')",JJ,plagiaristic,plagiaristic,100
1,17,0,11,"('and', 'CC')",CC,and,and,100
1,18,0,0,"('marred', 'VBN')",VBN,marred,marred,100
1,18,0,1,"('by', 'IN')",IN,by,by,100
1,18,0,2,"('obvious', 'JJ')",JJ,obvious,obvious,100
1,18,0,3,"('suppressions', 'NNS')",NNS,suppressions,suppressions,100
1,18,0,4,"('.', '.')",.,.,,100
1,18,1,0,"('Reserving', 'VBG')",VBG,Reserving,reserving,100
1,18,1,1,"('judgements', 'NNS')",NNS,judgements,judgements,100
1,18,1,2,"('is', 'VBZ')",VBZ,is,is,100
1,18,1,3,"('a', 'DT')",DT,a,a,100
1,18,1,4,"('matter', 'NN')",NN,matter,matter,100
1,18,1,5,"('of', 'IN')",IN,of,of,100
1,19,0,0,"('infinite', 'JJ')",JJ,infinite,infinite,100
1,19,0,1,"('hope', 'NN')",NN,hope,hope,100
1,19,0,2,"('.', '.')",.,.,,100
1,19,1,0,"('I', 'PRP')",PRP,I,i,100
1,19,1,1,"('am', 'VBP')",VBP,am,am,100
1,19,1,2,"('still', 'RB')",RB,still,still,100
1,19,1,3,"('a', 'DT')",DT,a,a,100
1,19,1,4,"('little', 'JJ')",JJ,little,little,100
1,19,1,5,"('afraid', 'NN')",NN,afraid,afraid,100
1,19,1,6,"('of', 'IN')",IN,of,of,100
1,19,1,7,"('missing', 'VBG')",VBG,missing,missing,100
1,19,1,8,"('something', 'NN')",NN,something,something,100
1,19,1,9,"('if', 'IN')",IN,if,if,100
1,19,1,10,"('I', 'PRP')",PRP,I,i,100
1,20,0,0,"('forget', 'NN')",NN,forget,forget,100
1,20,0,1,"('that', 'DT')",DT,that,that,100
1,20,0,2,"(',', ',')",",",",",,100
1,20,0,3,"('as', 'IN')",IN,as,as,100
1,20,0,4,"('my', 'PRP$')",PRP$,my,my,100
1,20,0,5,"('father', 'NN')",NN,father,father,100
1,20,0,6,"('snobbishly', 'RB')",RB,snobbishly,snobbishly,100
1,20,0,7,"('suggested', 'VBN')",VBN,suggested,suggested,100
1,20,0,8,"(',', ',')",",",",",,100
1,20,0,9,"('and', 'CC')",CC,and,and,100
1,20,0,10,"('I', 'PRP')",PRP,I,i,100
1,20,0,11,"('snobbishly', 'VBP')",VBP,snobbishly,snobbishly,100
1,21,0,0,"('repeat', 'NN')",NN,repeat,repeat,100
1,21,0,1,"(',', ',')",",",",",,100
1,21,0,2,"('a', 'DT')",DT,a,a,100
1,21,0,3,"('sense', 'NN')",NN,sense,sense,100
1,21,0,4,"('of', 'IN')",IN,of,of,100
1,21,0,5,"('the', 'DT')",DT,the,the,100
1,21,0,6,"('fundamental', 'JJ')",JJ,fundamental,fundamental,100
1,21,0,7,"('decencies', 'NNS')",NNS,decencies,decencies,100
1,21,0,8,"('is', 'VBZ')",VBZ,is,is,100
1,21,0,9,"('parcelled', 'VBN')",VBN,parcelled,parcelled,100
1,21,0,10,"('out', 'RP')",RP,out,out,100
1,22,0,0,"('unequally', 'RB')",RB,unequally,unequally,100
1,22,0,1,"('at', 'IN')",IN,at,at,100
1,22,0,2,"('birth', 'NN')",NN,birth,birth,100
1,22,0,3,"('.', '.')",.,.,,100
1,23,0,0,"('And', 'CC')",CC,And,and,100
1,23,0,1,"(',', ',')",",",",",,100
1,23,0,2,"('after', 'IN')",IN,after,after,100
1,23,0,3,"('boasting', 'VBG')",VBG,boasting,boasting,100
1,23,0,4,"('this', 'DT')",DT,this,this,100
1,23,0,5,"('way', 'NN')",NN,way,way,100
1,23,0,6,"('of', 'IN')",IN,of,of,100
1,23,0,7,"('my', 'PRP$')",PRP$,my,my,100
1,23,0,8,"('tolerance', 'NN')",NN,tolerance,tolerance,100
1,23,0,9,"(',', ',')",",",",",,100
1,23,0,10,"('I', 'PRP')",PRP,I,i,100
1,23,0,11,"('come', 'VBP')",VBP,come,come,100
1,23,0,12,"('to', 'TO')",TO,to,to,100
1,23,0,13,"('the', 'DT')",DT,the,the,100
1,23,0,14,"('admission', 'NN')",NN,admission,admission,100
1,24,0,0,"('that', 'IN')",IN,that,that,100
1,24,0,1,"('it', 'PRP')",PRP,it,it,100
1,24,0,2,"('has', 'VBZ')",VBZ,has,has,100
1,24,0,3,"('a', 'DT')",DT,a,a,100
1,24,0,4,"('limit', 'NN')",NN,limit,limit,100
1,24,0,5,"('.', '.')",.,.,,100
1,24,1,0,"('Conduct', 'NN')",NN,Conduct,conduct,100
1,24,1,1,"('may', 'MD')",MD,may,may,100
1,24,1,2,"('be', 'VB')",VB,be,be,100
1,24,1,3,"('founded', 'VBN')",VBN,founded,founded,100
1,24,1,4,"('on', 'IN')",IN,on,on,100
1,24,1,5,"('the', 'DT')",DT,the,the,100
1,24,1,6,"('hard', 'JJ')",JJ,hard,hard,100
1,24,1,7,"('rock', 'NN')",NN,rock,rock,100
1,24,1,8,"('or', 'CC')",CC,or,or,100
1,24,1,9,"('the', 'DT')",DT,the,the,100
1,25,0,0,"('wet', 'NN')",NN,wet,wet,100
1,25,0,1,"('marshes', 'NNS')",NNS,marshes,marshes,100
1,25,0,2,"(',', ',')",",",",",,100
1,25,0,3,"('but', 'CC')",CC,but,but,100
1,25,0,4,"('after', 'IN')",IN,after,after,100
1,25,0,5,"('a', 'DT')",DT,a,a,100
1,25,0,6,"('certain', 'JJ')",JJ,certain,certain,100
1,25,0,7,"('point', 'NN')",NN,point,point,100
1,25,0,8,"('I', 'PRP')",PRP,I,i,100
1,25,0,9,"('don', 'VBP')",VBP,don,don,100
1,25,0,10,"('’', 'JJ')",JJ,’,,100
1,25,0,11,"('t', 'NN')",NN,t,t,100
1,25,0,12,"('care', 'NN')",NN,care,care,100
1,25,0,13,"('what', 'WP')",WP,what,what,100
1,25,0,14,"('it', 'PRP')",PRP,it,it,100
1,25,0,15,"('’', 'VBD')",VBD,’,,100
1,25,0,16,"('s', 'NN')",NN,s,s,100
1,25,0,17,"('founded', 'VBD')",VBD,founded,founded,100
1,26,0,0,"('on', 'IN')",IN,on,on,100
1,26,0,1,"('.', '.')",.,.,,100
1,26,1,0,"('When', 'WRB')",WRB,When,when,100
1,26,1,1,"('I', 'PRP')",PRP,I,i,100
1,26,1,2,"('came', 'VBD')",VBD,came,came,100
1,26,1,3,"('back', 'RB')",RB,back,back,100
1,26,1,4,"('from', 'IN')",IN,from,from,100
1,26,1,5,"('the', 'DT')",DT,the,the,100
1,26,1,6,"('East', 'NNP')",NNP,East,east,100
1,26,1,7,"('last', 'JJ')",JJ,last,last,100
1,26,1,8,"('autumn', 'NN')",NN,autumn,autumn,100
1,26,1,9,"('I', 'PRP')",PRP,I,i,100
1,26,1,10,"('felt', 'VBD')",VBD,felt,felt,100
1,26,1,11,"('that', 'IN')",IN,that,that,100
1,26,1,12,"('I', 'PRP')",PRP,I,i,100
1,26,1,13,"('wanted', 'VBD')",VBD,wanted,wanted,100
1,27,0,0,"('the', 'DT')",DT,the,the,100
1,27,0,1,"('world', 'NN')",NN,world,world,100
1,27,0,2,"('to', 'TO')",TO,to,to,100
1,27,0,3,"('be', 'VB')",VB,be,be,100
1,27,0,4,"('in', 'IN')",IN,in,in,100
1,27,0,5,"('uniform', 'JJ')",JJ,uniform,uniform,100
1,27,0,6,"('and', 'CC')",CC,and,and,100
1,27,0,7,"('at', 'IN')",IN,at,at,100
1,27,0,8,"('a', 'DT')",DT,a,a,100
1,27,0,9,"('sort', 'NN')",NN,sort,sort,100
1,27,0,10,"('of', 'IN')",IN,of,of,100
1,27,0,11,"('moral', 'JJ')",JJ,moral,moral,100
1,27,0,12,"('attention', 'NN')",NN,attention,attention,100
1,27,0,13,"('forever', 'RB')",RB,forever,forever,100
1,27,0,14,"(';', ':')",:,;,,100
1,27,0,15,"('I', 'PRP')",PRP,I,i,100
1,28,0,0,"('wanted', 'VBD')",VBD,wanted,wanted,100
1,28,0,1,"('no', 'DT')",DT,no,no,100
1,28,0,2,"('more', 'RBR')",RBR,more,more,100
1,28,0,3,"('riotous', 'JJ')",JJ,riotous,riotous,100
1,28,0,4,"('excursions', 'NNS')",NNS,excursions,excursions,100
1,28,0,5,"('with', 'IN')",IN,with,with,100
1,28,0,6,"('privileged', 'JJ')",JJ,privileged,privileged,100
1,28,0,7,"('glimpses', 'NNS')",NNS,glimpses,glimpses,100
1,28,0,8,"('into', 'IN')",IN,into,into,100
1,28,0,9,"('the', 'DT')",DT,the,the,100
1,29,0,0,"('human', 'JJ')",JJ,human,human,100
1,29,0,1,"('heart', 'NN')",NN,heart,heart,100
1,29,0,2,"('.', '.')",.,.,,100
1,29,1,0,"('Only', 'RB')",RB,Only,only,100
1,29,1,1,"('Gatsby', 'NNP')",NNP,Gatsby,gatsby,100
1,29,1,2,"(',', ',')",",",",",,100
1,29,1,3,"('the', 'DT')",DT,the,the,100
1,29,1,4,"('man', 'NN')",NN,man,man,100
1,29,1,5,"('who', 'WP')",WP,who,who,100
1,29,1,6,"('gives', 'VBZ')",VBZ,gives,gives,100
1,29,1,7,"('his', 'PRP$')",PRP$,his,his,100
1,29,1,8,"('name', 'NN')",NN,name,name,100
1,29,1,9,"('to', 'TO')",TO,to,to,100
1,29,1,10,"('this', 'DT')",DT,this,this,100
1,29,1,11,"('book', 'NN')",NN,book,book,100
1,29,1,12,"(',', ',')",",",",",,100
1,29,1,13,"('was', 'VBD')",VBD,was,was,100
1,30,0,0,"('exempt', 'NN')",NN,exempt,exempt,100
1,30,0,1,"('from', 'IN')",IN,from,from,100
1,30,0,2,"('my', 'PRP$')",PRP$,my,my,100
1,30,0,3,"('reaction—Gatsby', 'NN')",NN,reaction—Gatsby,reactiongatsby,100
1,30,0,4,"(',', ',')",",",",",,100
1,30,0,5,"('who', 'WP')",WP,who,who,100
1,30,0,6,"('represented', 'VBD')",VBD,represented,represented,100
1,30,0,7,"('everything', 'NN')",NN,everything,everything,100
1,30,0,8,"('for', 'IN')",IN,for,for,100
1,30,0,9,"('which', 'WDT')",WDT,which,which,100
1,30,0,10,"('I', 'PRP')",PRP,I,i,100
1,31,0,0,"('have', 'VB')",VB,have,have,100
1,31,0,1,"('an', 'DT')",DT,an,an,100
1,31,0,2,"('unaffected', 'JJ')",JJ,unaffected,unaffected,100
1,31,0,3,"('scorn', 'NN')",NN,scorn,scorn,100
1,31,0,4,"('.', '.')",.,.,,100
1,31,1,0,"('If', 'IN')",IN,If,if,100
1,31,1,1,"('personality', 'NN')",NN,personality,personality,100
1,31,1,2,"('is', 'VBZ')",VBZ,is,is,100
1,31,1,3,"('an', 'DT')",DT,an,an,100
1,31,1,4,"('unbroken', 'JJ')",JJ,unbroken,unbroken,100
1,31,1,5,"('series', 'NN')",NN,series,series,100
1,31,1,6,"('of', 'IN')",IN,of,of,100
1,32,0,0,"('successful', 'JJ')",JJ,successful,successful,100
1,32,0,1,"('gestures', 'NNS')",NNS,gestures,gestures,100
1,32,0,2,"(',', ',')",",",",",,100
1,32,0,3,"('then', 'RB')",RB,then,then,100
1,32,0,4,"('there', 'EX')",EX,there,there,100
1,32,0,5,"('was', 'VBD')",VBD,was,was,100
1,32,0,6,"('something', 'NN')",NN,something,something,100
1,32,0,7,"('gorgeous', 'JJ')",JJ,gorgeous,gorgeous,100
1,32,0,8,"('about', 'IN')",IN,about,about,100
1,32,0,9,"('him', 'PRP')",PRP,him,him,100
1,32,0,10,"(',', ',')",",",",",,100
1,32,0,11,"('some', 'DT')",DT,some,some,100
1,33,0,0,"('heightened', 'VBN')",VBN,heightened,heightened,100
1,33,0,1,"('sensitivity', 'NN')",NN,sensitivity,sensitivity,100
1,33,0,2,"('to', 'TO')",TO,to,to,100
1,33,0,3,"('the', 'DT')",DT,the,the,100
1,33,0,4,"('promises', 'NNS')",NNS,promises,promises,100
1,33,0,5,"('of', 'IN')",IN,of,of,100
1,33,0,6,"('life', 'NN')",NN,life,life,100
1,33,0,7,"(',', ',')",",",",",,100
1,33,0,8,"('as', 'IN')",IN,as,as,100
1,33,0,9,"('if', 'IN')",IN,if,if,100
1,33,0,10,"('he', 'PRP')",PRP,he,he,100
1,33,0,11,"('were', 'VBD')",VBD,were,were,100
1,33,0,12,"('related', 'JJ')",JJ,related,related,100
1,34,0,0,"('to', 'TO')",TO,to,to,100
1,34,0,1,"('one', 'CD')",CD,one,one,100
1,34,0,2,"('of', 'IN')",IN,of,of,100
1,34,0,3,"('those', 'DT')",DT,those,those,100
1,34,0,4,"('intricate', 'JJ')",JJ,intricate,intricate,100
1,34,0,5,"('machines', 'NNS')",NNS,machines,machines,100
1,34,0,6,"('that', 'IN')",IN,that,that,100
1,34,0,7,"('register', 'NN')",NN,register,register,100
1,34,0,8,"('earthquakes', 'NNS')",NNS,earthquakes,earthquakes,100
1,34,0,9,"('ten', 'VBP')",VBP,ten,ten,100
1,35,0,0,"('thousand', 'NN')",NN,thousand,thousand,100
1,35,0,1,"('miles', 'NNS')",NNS,miles,miles,100
1,35,0,2,"('away', 'RB')",RB,away,away,100
1,35,0,3,"('.', '.')",.,.,,100
1,35,1,0,"('This', 'DT')",DT,This,this,100
1,35,1,1,"('responsiveness', 'NN')",NN,responsiveness,responsiveness,100
1,35,1,2,"('had', 'VBD')",VBD,had,had,100
1,35,1,3,"('nothing', 'NN')",NN,nothing,nothing,100
1,35,1,4,"('to', 'TO')",TO,to,to,100
1,35,1,5,"('do', 'VB')",VB,do,do,100
1,35,1,6,"('with', 'IN')",IN,with,with,100
1,35,1,7,"('that', 'DT')",DT,that,that,100
1,36,0,0,"('flabby', 'NN')",NN,flabby,flabby,100
1,36,0,1,"('impressionability', 'NN')",NN,impressionability,impressionability,100
1,36,0,2,"('which', 'WDT')",WDT,which,which,100
1,36,0,3,"('is', 'VBZ')",VBZ,is,is,100
1,36,0,4,"('dignified', 'VBN')",VBN,dignified,dignified,100
